segment,atom,element,hb_class,area_square_angstrom,charge_electron,raw_sigma_e_per_square_angstrom,cpcmx_averaged_sigma,cpcmx_pre_probability_partition,nist_hsieh_averaged_sigma,nist_pre_probability_partition,nist_left_bin,nist_right_bin,nist_left_area_weight,nist_right_area_weight
1,1,C,NHB,0.241185721000,0.000408992000,0.001695755446484,0.001772414745782,NHB,0.001706130199656,NHB,0.001,0.002,0.293869800344124,0.706130199655876
2,1,C,NHB,0.241185721000,-0.000282816000,-0.001172606731557,-0.000163202237287,NHB,-0.000988855671982,NHB,-0.001,0.000,0.988855671981600,0.011144328018400
3,1,C,NHB,0.241185721000,0.000062979000,0.000261122423578,0.001355963322978,NHB,0.001560123566211,NHB,0.001,0.002,0.439876433788767,0.560123566211233
4,1,C,NHB,0.241185721000,0.000298562000,0.001237892520180,0.001298998900753,NHB,0.001271521972243,NHB,0.001,0.002,0.728478027757221,0.271521972242779
5,1,C,NHB,0.241185721000,0.000351301000,0.001456558035623,0.000996491500889,NHB,0.000856291881810,NHB,0.000,0.001,0.143708118189892,0.856291881810108
6,1,C,NHB,0.617017436000,0.001160620000,0.001881016535811,0.001807064817123,NHB,0.001627160920971,NHB,0.001,0.002,0.372839079028882,0.627160920971118
7,1,C,NHB,0.617017436000,-0.000087072000,-0.000141117568029,-0.001553136365321,NHB,-0.001719269143357,NHB,-0.002,-0.001,0.719269143357318,0.280730856642682
8,1,C,NHB,0.617017436000,0.000944051000,0.001530023213153,0.002035797647868,NHB,0.001942062900130,NHB,0.001,0.002,0.057937099870223,0.942062900129777
9,1,C,NHB,0.617017436000,0.001076903000,0.001745336415420,0.001607662816142,NHB,0.001543786832199,NHB,0.001,0.002,0.456213167801004,0.543786832198996
10,1,C,NHB,0.617017436000,0.000595573000,0.000965245008084,0.002200339007529,NHB,0.001976358456096,NHB,0.001,0.002,0.023641543903888,0.976358456096112
11,1,C,NHB,0.517349488000,0.000708393000,0.001369273607941,0.001659641588723,NHB,0.001554092268155,NHB,0.001,0.002,0.445907731845052,0.554092268154948
12,1,C,NHB,0.517349488000,0.000699051000,0.001351216182126,0.000663860509945,NHB,0.000633852294721,NHB,0.000,0.001,0.366147705278823,0.633852294721177
13,1,C,NHB,0.517349488000,0.000376529000,0.000727803948266,0.002021235471141,NHB,0.001770585397531,NHB,0.001,0.002,0.229414602469391,0.770585397530609
14,1,C,NHB,0.517349488000,0.000667894000,0.001290991902944,0.000816433119677,NHB,0.000964286674474,NHB,0.000,0.001,0.035713325526166,0.964286674473834
15,1,C,NHB,0.517349488000,0.000810793000,0.001567205571488,0.001337695561087,NHB,0.001120603772388,NHB,0.001,0.002,0.879396227612236,0.120603772387764
16,1,C,NHB,0.517349488000,0.000304534000,0.000588642701044,0.000096054478663,NHB,-0.000169671119312,NHB,-0.001,0.000,0.169671119311697,0.830328880688303
17,1,C,NHB,0.517349488000,0.000582248000,0.001125444237417,0.001673029418140,NHB,0.001483526380697,NHB,0.001,0.002,0.516473619303427,0.483526380696573
18,1,C,NHB,0.517349488000,0.000808104000,0.001562007924515,0.000726306281893,NHB,0.000647651684632,NHB,0.000,0.001,0.352348315367560,0.647651684632440
19,1,C,NHB,0.517349488000,0.000272661000,0.000527034444460,0.001572570552967,NHB,0.000623343475318,NHB,0.000,0.001,0.376656524682320,0.623343475317680
20,1,C,NHB,0.517349488000,-0.001043941000,-0.002017864179272,-0.001860242401221,NHB,-0.002118737162336,NHB,-0.003,-0.002,0.118737162335529,0.881262837664471
21,1,C,NHB,0.517349488000,0.000723891000,0.001399230146720,0.001702865527625,NHB,0.001643940463998,NHB,0.001,0.002,0.356059536002043,0.643940463997957
22,1,C,NHB,0.517349488000,0.000023756000,0.000045918669199,0.001523312757941,NHB,0.000456106599096,NHB,0.000,0.001,0.543893400904384,0.456106599095616
23,1,C,NHB,0.517349488000,-0.000918039000,-0.001774504510576,-0.003154926488283,NHB,-0.002819915774221,NHB,-0.003,-0.002,0.819915774221311,0.180084225778689
24,1,C,NHB,0.517349488000,0.000915384000,0.001769372583200,0.001543634330741,NHB,0.001520123050481,NHB,0.001,0.002,0.479876949518820,0.520123050481180
25,1,C,NHB,0.517349488000,0.000894129000,0.001728288170259,0.001747917657768,NHB,0.001672204193333,NHB,0.001,0.002,0.327795806667100,0.672204193332900
26,1,C,NHB,0.517349488000,0.001057888000,0.002044822744659,0.001945444625735,NHB,0.001778150226724,NHB,0.001,0.002,0.221849773275582,0.778150226724418
27,1,C,NHB,0.517349488000,0.000827468000,0.001599437168091,0.001668449798046,NHB,0.001672819473797,NHB,0.001,0.002,0.327180526202927,0.672819473797073
28,1,C,NHB,0.517349488000,0.000982185000,0.001898494195475,0.001787083616353,NHB,0.001734379651975,NHB,0.001,0.002,0.265620348024513,0.734379651975487
29,1,C,NHB,0.626409493000,0.001127739000,0.001800322333238,0.001638224544926,NHB,0.001593148751525,NHB,0.001,0.002,0.406851248474968,0.593148751525032
30,1,C,NHB,0.626409493000,0.001427880000,0.002279467370716,0.002037714554402,NHB,0.001827372412701,NHB,0.001,0.002,0.172627587299369,0.827372412700631
