## DETAILED OUTSTANDING INVOICES BREAKDOWN

### Pending BRC Invoices
1. **Invoice Number:** INV-2425-004  
   **SAP Invoice No:** 39-2425  
   **Customer Name:** AVISTA OIL DEUTSCHLAND GMBH  
   **Total Amount:** 350,250.00 USD  
   **Outstanding Balance:** 350,250.00 USD  
   **Due Date:** 2024-11-20  
   **Days Overdue:** 260  
   **BRC Status:** No BRC Issued  
   **BRC Pending Amount:** 350,250.00 USD  

2. **Invoice Number:** INV-1718-001  
   **SAP Invoice No:** EXP/016/17-18  
   **Customer Name:** Agas Lubes  
   **Total Amount:** 226,000.00 USD  
   **Outstanding Balance:** 226,000.00 USD  
   **Due Date:** 2018-02-10  
   **Days Overdue:** 2735  
   **BRC Status:** No BRC Issued  
   **BRC Pending Amount:** 226,000.00 USD  

3. **Invoice Number:** INV-2021-003  
   **SAP Invoice No:** 50/20-21  
   **Customer Name:** Bunorr Intergrated Energy Ltd  
   **Total Amount:** 212,854.00 USD  
   **Outstanding Balance:** 212,854.00 USD  
   **Due Date:** 2021-02-28  
   **Days Overdue:** 1621  
   **BRC Status:** No BRC Issued  
   **BRC Pending Amount:** 212,854.00 USD  

4. **Invoice Number:** INV-2526-010  
   **SAP Invoice No:** 10-2526  
   **Customer Name:** Dukhan Petroleum Company (DUPCO)  
   **Total Amount:** 120,222.00 USD  
   **Outstanding Balance:** 120,222.00 USD  
   **Due Date:** 2025-07-02  
   **Days Overdue:** 36  
   **BRC Status:** No BRC Issued  
   **BRC Pending Amount:** 120,222.00 USD  

5. **Invoice Number:** INV-2425-003  
   **SAP Invoice No:** 37-2425  
   **Customer Name:** AFRO INTERNATIONAL OIL IND. LLC  
   **Total Amount:** 14,431.00 USD  
   **Outstanding Balance:** 506.00 USD  
   **Due Date:** 2025-06-29  
   **Days Overdue:** 39  
   **BRC Status:** Partial BRC  
   **BRC Pending Amount:** 506.00 USD  

6. **Invoice Number:** INV-2324-002  
   **SAP Invoice No:** 48-2324  
   **Customer Name:** LUB Y REC DE MEXICO DE CV  
   **Total Amount:** 6,347.00 USD  
   **Outstanding Balance:** 6,347.00 USD  
   **Due Date:** 2025-06-29  
   **Days Overdue:** 39  
   **BRC Status:** No BRC Issued  
   **BRC Pending Amount:** 6,347.00 USD  

7. **Invoice Number:** INV-2122-001  
   **SAP Invoice No:** 006/21-22  
   **Customer Name:** P.B. Inbud Bielsko sp. zoo. sp. k  
   **Total Amount:** 5,000.00 USD  
   **Outstanding Balance:** 5,000.00 USD  
   **Due Date:** 2021-07-11  
   **Days Overdue:** 1488  
   **BRC Status:** No BRC Issued  
   **BRC Pending Amount:** 5,000.00 USD  

8. **Invoice Number:** INV-2324-001  
   **SAP Invoice No:** 018-2324  
   **Customer Name:** Geo Green Shield W.L.L  
   **Total Amount:** 4,277.00 USD  
   **Outstanding Balance:** 4,277.00 USD  
   **Due Date:** 2025-06-29  
   **Days Overdue:** 39  
   **BRC Status:** No BRC Issued  
   **BRC Pending Amount:** 4,277.00 USD  

9. **Invoice Number:** INV-2223-004  
   **SAP Invoice No:** A055/22-23  
   **Customer Name:** Geo Green Shield W.L.L  
   **Total Amount:** 2,176.00 USD  
   **Outstanding Balance:** 2,176.00 USD  
   **Due Date:** 2025-06-29  
   **Days Overdue:** 39  
   **BRC Status:** No BRC Issued  
   **BRC Pending Amount:** 2,176.00 USD  

10. **Invoice Number:** INV-2425-005  
    **SAP Invoice No:** 56-2425  
    **Customer Name:** Bunorr Intergrated Energy Ltd  
    **Total Amount:** 2,068.00 USD  
    **Outstanding Balance:** 2,068.00 USD  
    **Due Date:** 2025-06-29  
    **Days Overdue:** 39  
    **BRC Status:** No BRC Issued  
    **BRC Pending Amount:** 2,068.00 USD  

11. **Invoice Number:** INV-2223-001  
    **SAP Invoice No:** 013/22-23  
    **Customer Name:** Cyclo Oil LLC  
    **Total Amount:** 2,005.00 USD  
    **Outstanding Balance:** 2,005.00 USD  
    **Due Date:** 2022-06-25  
    **Days Overdue:** 1139  
    **BRC Status:** No BRC Issued  
    **BRC Pending Amount:** 2,005.00 USD  

12. **Invoice Number:** INV-1920-001  
    **SAP Invoice No:** 014/19-20  
