"diameterM","trialCount","feasibleTrialCount","feasibleGeometryCount","adequateGeometryCount","maxFixedGeometryWindowRpm","feasibleRpmUnionNotOneWindow","feasibleAbove70","feasibleAbove70Count","rejectionReasons","highRpmRejections","highRpmMechanisms"
"0.2","945","0","0","0","0","[]","false","0","{""NO_DILUTE_CONNECTED_ROOT"":945,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":945}","{""NO_DILUTE_CONNECTED_ROOT"":702,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":702}","{""tipOnly"":0,""modelOnly"":702,""tipAndModel"":0,""feasible"":0}"
"0.3","945","1","1","0","0","[30]","false","0","{""NO_DILUTE_CONNECTED_ROOT"":935,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":944}","{""NO_DILUTE_CONNECTED_ROOT"":702,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":702}","{""tipOnly"":0,""modelOnly"":702,""tipAndModel"":0,""feasible"":0}"
"0.4","945","5","5","0","0","[30]","false","0","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":940,""NO_DILUTE_CONNECTED_ROOT"":928}","{""NO_DILUTE_CONNECTED_ROOT"":702,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":702}","{""tipOnly"":0,""modelOnly"":702,""tipAndModel"":0,""feasible"":0}"
"0.5","945","10","8","0","5","[30,35]","false","0","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":935,""NO_DILUTE_CONNECTED_ROOT"":924}","{""NO_DILUTE_CONNECTED_ROOT"":702,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":702}","{""tipOnly"":0,""modelOnly"":702,""tipAndModel"":0,""feasible"":0}"
"0.6","945","11","8","0","5","[30,35]","false","0","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":934,""NO_DILUTE_CONNECTED_ROOT"":922}","{""NO_DILUTE_CONNECTED_ROOT"":702,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":702}","{""tipOnly"":0,""modelOnly"":702,""tipAndModel"":0,""feasible"":0}"
"0.7","945","12","9","0","5","[30,35]","false","0","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":933,""NO_DILUTE_CONNECTED_ROOT"":918}","{""NO_DILUTE_CONNECTED_ROOT"":702,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":702}","{""tipOnly"":0,""modelOnly"":702,""tipAndModel"":0,""feasible"":0}"
"0.8","945","14","9","0","5","[30,35]","false","0","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":931,""NO_DILUTE_CONNECTED_ROOT"":918}","{""NO_DILUTE_CONNECTED_ROOT"":702,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":702}","{""tipOnly"":0,""modelOnly"":702,""tipAndModel"":0,""feasible"":0}"
"0.9","945","15","9","0","10","[30,35,40]","false","0","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":930,""NO_DILUTE_CONNECTED_ROOT"":917,""TIP_SPEED_LIMIT_EXCEEDED"":18}","{""NO_DILUTE_CONNECTED_ROOT"":702,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":702,""TIP_SPEED_LIMIT_EXCEEDED"":18}","{""tipOnly"":0,""modelOnly"":684,""tipAndModel"":18,""feasible"":0}"
"1","945","15","9","0","10","[30,35,40]","false","0","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":930,""NO_DILUTE_CONNECTED_ROOT"":917,""TIP_SPEED_LIMIT_EXCEEDED"":54}","{""NO_DILUTE_CONNECTED_ROOT"":702,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":702,""TIP_SPEED_LIMIT_EXCEEDED"":54}","{""tipOnly"":0,""modelOnly"":648,""tipAndModel"":54,""feasible"":0}"
"1.1","945","15","9","0","10","[30,35,40]","false","0","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":930,""NO_DILUTE_CONNECTED_ROOT"":917,""TIP_SPEED_LIMIT_EXCEEDED"":90}","{""NO_DILUTE_CONNECTED_ROOT"":702,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":702,""TIP_SPEED_LIMIT_EXCEEDED"":90}","{""tipOnly"":0,""modelOnly"":612,""tipAndModel"":90,""feasible"":0}"
