"trialKey","diameterM","hcToColumn","rotorToColumn","freeArea","rpm","maxLoading","marginAbsolute","marginPercentagePoints","controllingScenario","controllingCapacityMS","controllingPhiOperating","controllingPhiTurning","controllingSeparationPP","controllingD32MM","controllingAreaM2M3","minSeparationPP","worstSeparationScenarios","worstSeparationDiffersFromControlling","d32MinMM","d32MaxMM","phiMin","phiMax","minAreaM2M3","maxAreaM2M3","minRootDistance","maxOperatingResidualMS","maxVelocityClosureMS","maxForceResidualN","allSixTwoDistinctRoots","allSixContinuation16Monotone","allSixSignedDirectionsValid","branchStatuses","rotorRe","powerVolumeWM3","paretoWithinDiameter2D","paretoGlobal2D","paretoGlobal3D","feasiblePointCount","exactObjectiveTieCount","tiedTrialKeys","areaBestTrialKey","areaBestRPM","areaBestMinAreaM2M3","areaBestMarginPP","areaBestMinSeparationPP","areaBestTieCount"
"0.3|0.3|0.33|0.4|30","0.3","0.3","0.33","0.4","30","0.674354050911411","0.02564594908858897","2.564594908858897","0.36/SN","0.035283802730599216","0.07282611628924014","0.19327465390555387","12.044853761631373","11.952240223390644","36.55856053497926","12.044853761631373","0.36/SN","false","11.952240223390644","14.27628693349438","0.030786361434867578","0.07282611628924014","12.938810313193414","36.55856053497926","0.2979312624630229","5.551115123125783e-17","5.551115123125783e-17","8.673617379884035e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","71.21295150501673","0.1948552485334183","true","false","false","1","1","0.3|0.3|0.33|0.4|30","0.3|0.3|0.33|0.4|30","30","12.938810313193414","2.564594908858897","12.044853761631373","1"
"0.4|0.3|0.33|0.4|30","0.4","0.3","0.33","0.4","30","0.5305906609972023","0.16940933900279764","16.940933900279763","0.36/SN","0.02522471575875245","0.05042053113951332","0.18673705121136924","13.63165200718559","9.495073348918465","31.861068969155333","13.63165200718559","0.36/SN","false","9.495073348918465","11.341337611208166","0.023413902834451585","0.05042053113951332","12.386847285797725","31.861068969155333","0.3605379763913314","2.7755575615628914e-17","2.7755575615628914e-17","8.673617379884035e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","126.6008026755853","0.3464093307260768","true","false","false","5","1","0.4|0.3|0.33|0.4|30","0.4|0.2|0.33|0.4|30","30","18.20859849439701","4.626588438211265","11.706038671006997","1"
"0.5|0.3|0.33|0.4|30","0.5","0.3","0.33","0.4","30","0.45778125491463784","0.24221874508536212","24.22187450853621","0.36/SN","0.01871146757779581","0.04057993509243352","0.18154328396725844","14.096334887482492","7.94273939870754","30.654362220951203","14.096334887482492","0.36/SN","false","7.94273939870754","9.487160948456228","0.019393931316466183","0.04057993509243352","12.265375124444583","30.654362220951203","0.3881804015166257","1.3877787807814457e-17","1.3877787807814457e-17","2.168404344971009e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","197.81375418060202","0.5412645792594952","true","false","false","10","1","0.5|0.3|0.33|0.4|30","0.5|0.25|0.33|0.4|35","35","23.953878047960206","0.7235821957448318","10.676031299196243","1"
"0.6|0.3|0.33|0.4|30","0.6","0.3","0.33","0.4","30","0.4151054672401397","0.28489453275986026","28.489453275986026","0.36/SN","0.014329957794300694","0.03512495499456153","0.17744622122133558","14.232126622677404","6.864759341569113","30.7002357229317","14.232126622677404","0.36/SN","false","6.864759341569113","8.19957365798533","0.016886280917614006","0.03512495499456153","12.356457753997203","30.7002357229317","0.4031152904821293","1.3877787807814457e-17","1.3877787807814457e-17","1.6263032587282567e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","284.85180602006693","0.7794209941336732","true","false","false","11","1","0.6|0.3|0.33|0.4|30","0.6|0.25|0.33|0.4|35","35","24.29343826984303","5.881186642195435","11.203716614045145","1"
"0.7|0.3|0.33|0.4|30","0.7","0.3","0.33","0.4","30","0.3877218488990188","0.31227815110098117","31.227815110098117","0.36/SN","0.011271702309615425","0.03171314375484263","0.17420968915511292","14.249654540027029","6.068311766098486","31.35614481643421","14.249654540027029","0.36/SN","false","6.068311766098486","7.248261276173192","0.015194438735093494","0.03171314375484263","12.577724358564168","31.35614481643421","0.4121527903420868","1.3877787807814457e-17","1.3877787807814457e-17","1.0842021724855044e-19","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","387.71495819397984","1.0608785753486099","true","false","true","12","1","0.7|0.3|0.33|0.4|30","0.7|0.2|0.33|0.2|30","30","26.432004117037465","1.2216866168567653","10.394232731070364","1"
"0.8|0.3|0.33|0.4|30","0.8","0.3","0.33","0.4","30","0.36901742601229026","0.3309825739877097","33.09825739877097","0.36/SN","0.009067321530404671","0.0294110304215454","0.17163841329945695","14.222738287791154","5.453487568239414","32.35840924200404","14.222738287791154","0.36/SN","false","5.453487568239414","6.513887928730411","0.013991502031026188","0.0294110304215454","12.88769673421741","32.35840924200404","0.41805664046842833","1.3877787807814457e-17","1.3877787807814457e-17","8.131516293641283e-20","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","506.4032107023412","1.3856373229043073","true","false","true","14","1","0.8|0.3|0.33|0.4|30","0.8|0.2|0.33|0.4|35","35","32.72327662274354","2.20077501610344","10.362679683055267","1"
"0.9|0.3|0.33|0.4|30","0.9","0.3","0.33","0.4","30","0.35563658607790216","0.3443634139220978","34.436341392209776","0.36/SN","0.007433860617643308","0.027773522893709088","0.16957949560516583","14.180597271145674","4.963091814664935","33.57607386384906","14.180597271145674","0.36/SN","false","4.963091814664935","5.928137445294228","0.013103079986100613","0.027773522893709088","13.26191921865969","33.57607386384906","0.42213712028400235","1.3877787807814457e-17","1.3877787807814457e-17","5.421010862427522e-20","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","640.9165635451507","1.753697236800765","true","false","true","15","1","0.9|0.3|0.33|0.4|30","0.9|0.3|0.33|0.4|40","40","36.34680909225429","0.07276467029745382","9.975980039722467","1"
"1|0.3|0.33|0.4|30","1","0.3","0.33","0.4","30","0.345713720667535","0.354286279332465","35.428627933246496","0.36/SN","0.006194257413705183","0.026562174197569444","0.16791604143485406","14.13538672372846","4.561905840732744","34.93562794794944","14.13538672372846","0.36/SN","false","4.561905840732744","5.448943087541889","0.012427641050391236","0.026562174197569444","13.68446047323011","34.93562794794944","0.42508363160452345","6.938893903907228e-18","6.938893903907228e-18","6.776263578034403e-20","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","791.2550167224081","2.165058317037981","true","false","true","15","1","1|0.3|0.33|0.4|30","1|0.3|0.33|0.4|40","40","38.07176634667561","1.355371080306278","10.100298600326905","1"
"1.1|0.3|0.33|0.4|30","1.1","0.3","0.33","0.4","30","0.3381383683685911","0.36186163163140883","36.18616316314088","0.36/SN","0.005233907493037966","0.025638237970383226","0.16655952722626471","14.092128925588149","4.226999232003001","36.39211160902102","14.092128925588149","0.36/SN","false","4.226999232003001","5.048915749336918","0.011902151519088801","0.025638237970383226","14.144206926786524","36.39211160902102","0.4272879195505471","1.3877787807814457e-17","1.3877787807814457e-17","9.486769009248164e-20","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","957.418570234114","2.6197205636159566","true","false","true","15","1","1.1|0.3|0.33|0.4|30","1.1|0.3|0.33|0.4|40","40","39.89118107457114","2.332614565775304","10.189041122154501","1"
"1.2|0.3|0.33|0.4|30","1.2","0.3","0.33","0.4","30","0.3322134311114454","0.36778656888855454","36.77865688885545","0.36/SN","0.004476372166707482","0.02491582293852137","0.1654430451580986","14.052722221957723","3.942768881555484","37.916231491649114","14.052722221957723","0.36/SN","false","3.942768881555484","4.709418386302384","0.011485498914842532","0.02491582293852137","14.633015764641472","37.916231491649114","0.42898640579186076","1.3877787807814457e-17","1.3877787807814457e-17","4.0657581468206416e-20","true","true","true","LOWER_QUASI_STEADY_ADMISSIBLE","1139.4072240802677","3.1176839765346926","true","false","true","15","1","1.2|0.3|0.33|0.4|30","1.2|0.3|0.33|0.4|40","40","41.77715842416924","3.0961273468404826","10.254915829436941","1"
