"metric","count","exact","withinTolerance","outsideTolerance","nullPairs","maxAbs","maxRelative"
"scenario.D","20412","20412","20412","0","0","0","0"
"scenario.hcToD","20412","20412","20412","0","0","0","0"
"scenario.rotorToD","20412","20412","20412","0","0","0","0"
"scenario.freeArea","20412","20412","20412","0","0","0","0"
"scenario.rpm","20412","20412","20412","0","0","0","0"
"scenario.trialStatus","20412","20412","20412","0","0","0","0"
"scenario.rotorRe","20412","20412","20412","0","0","0","0"
"scenario.coefficient","20412","20412","20412","0","0","0","0"
"scenario.interfaceScenario","20412","20412","20412","0","0","0","0"
"scenario.d32M","20412","20412","20412","0","0","0","0"
"scenario.terminalRe","20412","20412","20412","0","0","0","0"
"scenario.terminalSpeedMS","20412","20412","20412","0","0","0","0"
"scenario.signedTerminalVelocityMS","20412","20412","20412","0","0","0","0"
"scenario.characteristicFactor","20412","20412","20412","0","0","0","0"
"scenario.characteristicSpeedMS","20412","20412","20412","0","0","0","0"
"scenario.characteristicRe","20412","20412","20412","0","0","0","0"
"scenario.forceBalanceResidualN","20412","20412","20412","0","0","0","0"
"scenario.floodHoldup","20412","20412","20412","0","0","0","0"
"scenario.capacityMS","20412","20412","20412","0","0","0","0"
"scenario.loading","20412","20412","20412","0","0","0","0"
"scenario.operatingRoots.length","20412","20412","20412","0","0","0","0"
"scenario.operatingHoldup","20412","20412","20412","0","16565","0","0"
"scenario.continuation.length","20412","20412","20412","0","0","0","0"
"scenario.continuation.[].flowFraction","149075","149075","149075","0","0","0","0"
"scenario.continuation.[].holdup","149075","149075","149075","0","0","0","0"
"scenario.operatingSpeeds","16565","16565","16565","0","16565","0","0"
"scenario.signedOperatingVelocities","16565","16565","16565","0","16565","0","0"
"scenario.operatingBalanceResidualMS","20412","20412","20412","0","16565","0","0"
"scenario.interfacialAreaM2M3","20412","20412","20412","0","16565","0","0"
"scenario.branchStatus","20412","20412","20412","0","0","0","0"
"scenario.diagnostics.eotvos","20412","20412","20412","0","0","0","0"
"scenario.diagnostics.ohnesorgeContinuous","20412","20412","20412","0","0","0","0"
"scenario.diagnostics.ohnesorgeDispersed","20412","20412","20412","0","0","0","0"
"scenario.diagnostics.swarmReAtFlood","20412","20412","20412","0","0","0","0"
"scenario.diagnostics.weberTerminal","20412","20412","20412","0","0","0","0"
"scenario.eotvos","20412","20412","20412","0","0","0","0"
"scenario.weberTerminal","20412","20412","20412","0","0","0","0"
"scenario.ohnesorgeContinuous","20412","20412","20412","0","0","0","0"
"scenario.ohnesorgeDispersed","20412","20412","20412","0","0","0","0"
"scenario.swarmReAtFlood","20412","20412","20412","0","0","0","0"
"scenario.swarmReOperating","20412","20412","20412","0","16565","0","0"
"scenario.slipReOperating","20412","20412","20412","0","16565","0","0"
"scenario.operatingRoots.[]","7694","7694","7694","0","0","0","0"
"scenario.operatingSpeeds.slipMS","3847","3847","3847","0","0","0","0"
"scenario.operatingSpeeds.superficialSwarmMS","3847","3847","3847","0","0","0","0"
"scenario.signedOperatingVelocities.continuousMS","3847","3847","3847","0","0","0","0"
"scenario.signedOperatingVelocities.dispersedMS","3847","3847","3847","0","0","0","0"
"scenario.signedOperatingVelocities.dispersedRelativeToContinuousMS","3847","3847","3847","0","0","0","0"
"scientificBasis.composition.rrboFeedWt.diAromatics","1","1","1","0","0","0","0"
"scientificBasis.composition.rrboFeedWt.monoAromatics","1","1","1","0","0","0","0"
"scientificBasis.composition.rrboFeedWt.nmp","1","1","1","0","0","0","0"
"scientificBasis.composition.rrboFeedWt.polarAromatics","1","1","1","0","0","0","0"
