Temperature °C,NT,Stage,Phase,SAT wt%,MONO wt%,DI wt%,POLY wt%,PA wt%,NMP wt%,Trial classification
25.0,1,1,Raffinate,85.96985038,3.60584607,1.97374640,0.92531746,0.62185649,6.90338319,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,1,1,Extract,5.15837231,3.75943049,2.23150260,1.17483702,1.46612115,86.20973644,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,2,1,Raffinate,83.75995534,4.51299847,2.53784254,1.18773240,0.76854406,7.23292719,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,2,1,Extract,5.51356264,4.84504917,2.86414967,1.50175578,1.77954828,83.49593447,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,2,2,Raffinate,89.11085043,2.37093269,1.24672106,0.54452922,0.23025752,6.49670908,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,2,2,Extract,4.73907325,2.39130779,1.42079593,0.69917404,0.55971394,90.18993504,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,3,1,Raffinate,82.75958218,4.92120234,2.80496494,1.30791601,0.81407679,7.39225774,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,3,1,Extract,5.69490780,5.36920847,3.16775909,1.65301822,1.87211047,82.24299596,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,3,2,Raffinate,87.07497200,3.28307595,1.78237925,0.77355393,0.30191291,6.78410595,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,3,2,Extract,5.01993159,3.37603765,2.01994878,0.98571913,0.71979203,87.87857082,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,3,3,Raffinate,90.71797110,1.69972618,0.85392243,0.34553404,0.08750101,6.29534525,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,3,3,Extract,4.54288466,1.69069716,0.97868047,0.44688435,0.21623442,92.12461894,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,4,1,Raffinate,82.20972027,5.14794647,2.95731272,1.37326705,0.82817255,7.48358094,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,4,1,Extract,5.80223173,5.67292207,3.34285767,1.73614261,1.89834162,81.54750429,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,4,2,Raffinate,85.97519798,3.77013983,2.08233845,0.89664439,0.32671515,6.94896420,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,4,2,Extract,5.18504826,3.92225017,2.35489212,1.13886960,0.77134578,86.62759407,RESEARCH DIAGNOSTIC — NOT ACCEPTED
