         5362873 function calls (5294927 primitive calls) in 77.540 seconds

   Ordered by: cumulative time
   List reduced from 1972 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20585    0.087    0.000   73.219    0.004 model.py:68(wet_lngamma)
    20585   69.842    0.003   69.939    0.003 model.py:46(wet_lngamma)
     2666    0.004    0.000    7.230    0.003 _differentiable_functions.py:292(_update_fun)
5280/1154    0.022    0.000    4.138    0.004 engine.py:41(objective)
       49    0.003    0.000    3.202    0.065 __init__.py:1(<module>)
    20585    0.296    0.000    3.071    0.000 model.py:40(correction)
    20585    1.803    0.000    2.771    0.000 model.py:22(features)
      695    0.002    0.000    2.521    0.004 engine.py:147(<lambda>)
20565/253    0.059    0.000    1.385    0.005 engine.py:69(lngamma)
    498/5    0.004    0.000    1.207    0.241 <frozen importlib._bootstrap>:1349(_find_and_load)
    496/5    0.003    0.000    1.207    0.241 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    476/5    0.002    0.000    1.206    0.241 <frozen importlib._bootstrap>:911(_load_unlocked)
        1    0.853    0.853    0.853    0.853 run.py:1(<module>)
      397    0.004    0.000    0.825    0.002 <frozen importlib._bootstrap_external>:1066(get_code)
  528/157    0.001    0.000    0.761    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      365    0.003    0.000    0.757    0.002 <frozen importlib._bootstrap_external>:1058(source_to_code)
   490/81    0.001    0.000    0.755    0.009 {built-in method builtins.__import__}
      388    0.748    0.002    0.748    0.002 {built-in method builtins.compile}
        1    0.008    0.008    0.574    0.574 _optimize.py:1(<module>)
    13826    0.074    0.000    0.396    0.000 worker.py:210(softmax)
  2087894    0.394    0.000    0.394    0.000 {method 'append' of 'list' objects}
13885/13177    0.004    0.000    0.381    0.000 {built-in method builtins.hasattr}
    21762    0.277    0.000    0.371    0.000 _index_tricks_impl.py:346(__getitem__)
  1577/12    0.008    0.000    0.370    0.031 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        2    0.000    0.000    0.342    0.171 _basic.py:1(<module>)
   989903    0.334    0.000    0.334    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.333    0.333 _decomp.py:1(<module>)
        1    0.000    0.000    0.328    0.328 _util.py:1(<module>)
        1    0.000    0.000    0.323    0.323 _array_api.py:1(<module>)
   247357    0.307    0.000    0.307    0.000 {built-in method numpy.asarray}
       11    0.000    0.000    0.297    0.027 __init__.py:326(__getattr__)
