         3942199 function calls (3855275 primitive calls) in 45.138 seconds

   Ordered by: cumulative time
   List reduced from 1978 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20585    0.047    0.000   40.597    0.002 worker.py:78(cached_wet_lngamma)
    11065    0.049    0.000   40.436    0.004 model.py:68(wet_lngamma)
    11065   38.578    0.003   38.601    0.003 model.py:46(wet_lngamma)
     2666    0.004    0.000    7.305    0.003 _differentiable_functions.py:292(_update_fun)
5280/1154    0.023    0.000    4.128    0.004 engine.py:41(objective)
       49    0.003    0.000    3.360    0.069 __init__.py:1(<module>)
      695    0.002    0.000    2.615    0.004 engine.py:147(<lambda>)
    11065    0.169    0.000    1.735    0.000 model.py:40(correction)
    11065    1.009    0.000    1.564    0.000 model.py:22(features)
    498/5    0.004    0.000    1.239    0.248 <frozen importlib._bootstrap>:1349(_find_and_load)
    496/5    0.003    0.000    1.239    0.248 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    476/5    0.002    0.000    1.238    0.248 <frozen importlib._bootstrap>:911(_load_unlocked)
        1    0.862    0.862    0.862    0.862 run.py:1(<module>)
      397    0.004    0.000    0.851    0.002 <frozen importlib._bootstrap_external>:1066(get_code)
  528/157    0.001    0.000    0.781    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   490/81    0.001    0.000    0.779    0.010 {built-in method builtins.__import__}
      365    0.001    0.000    0.722    0.002 <frozen importlib._bootstrap_external>:1058(source_to_code)
      388    0.707    0.002    0.707    0.002 {built-in method builtins.compile}
        1    0.001    0.001    0.592    0.592 _optimize.py:1(<module>)
20565/253    0.038    0.000    0.493    0.002 engine.py:69(lngamma)
13885/13177    0.005    0.000    0.393    0.000 {built-in method builtins.hasattr}
  1577/12    0.016    0.000    0.392    0.033 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    13826    0.076    0.000    0.391    0.000 worker.py:210(softmax)
        2    0.000    0.000    0.358    0.179 _basic.py:1(<module>)
        1    0.000    0.000    0.349    0.349 _decomp.py:1(<module>)
    21762    0.257    0.000    0.345    0.000 _index_tricks_impl.py:346(__getitem__)
        1    0.000    0.000    0.344    0.344 _util.py:1(<module>)
        1    0.000    0.000    0.339    0.339 _array_api.py:1(<module>)
       11    0.000    0.000    0.318    0.029 __init__.py:326(__getattr__)
    396/2    0.404    0.001    0.306    0.153 <frozen importlib._bootstrap_external>:993(exec_module)
    426/2    0.005    0.000    0.302    0.151 {built-in method builtins.exec}
      490    0.006    0.000    0.270    0.001 _slsqp_py.py:489(_eval_con_normals)
      980    0.003    0.000    0.250    0.000 _slsqp_py.py:299(cjac)
    48065    0.119    0.000    0.244    0.000 engine.py:38(normalize)
  1173975    0.227    0.000    0.227    0.000 {method 'append' of 'list' objects}
   137714    0.221    0.000    0.221    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   532943    0.207    0.000    0.207    0.000 {built-in method numpy.zeros}
