Immutable Stage-1 and run-2 basis
QD=0.00111111111111 m3/s QC=0.000474492001729 m3/s muD/muC=63.6255 dR/D=0.50 hc/D=0.50 phi_s=0.35
model,rpm,fraction,D_m,d32_mm,epsilon_Wkg,We,Nv,vt_mps,Re_t,Eo,k_char,vchar_mps,Re_char,h_flood,loading
GARTHE_STICHLMAIR,60->12.202,1.00,1.635615,0.864682,0.005456,1937.813,0.160309,0.020323,10.843379,0.0916523,0.354626,0.007207,3.845341,0.186639,1.000000
GARTHE_STICHLMAIR,60->11.200,0.80,1.859805,0.864682,0.005456,2400.432,0.160309,0.020323,10.843379,0.0916523,0.342816,0.006967,3.717278,0.186090,0.800000
GARTHE_STICHLMAIR,60->10.643,0.70,2.007723,0.864682,0.005456,2726.987,0.160309,0.020323,10.843379,0.0916523,0.336173,0.006832,3.645254,0.185777,0.700000
GARTHE_STICHLMAIR,60->10.037,0.60,2.192472,0.864682,0.005456,3157.915,0.160309,0.020323,10.843379,0.0916523,0.328881,0.006684,3.566184,0.185429,0.600000
GARTHE_STICHLMAIR,120->16.197,1.00,3.024910,0.461212,0.043650,21598.541,0.260017,0.008132,2.314202,0.0260754,0.275245,0.002238,0.636973,0.168323,1.000000
GARTHE_STICHLMAIR,120->14.925,0.80,3.419685,0.461212,0.043650,26498.042,0.260017,0.008132,2.314202,0.0260754,0.269456,0.002191,0.623576,0.168222,0.800000
GARTHE_STICHLMAIR,120->14.215,0.70,3.678991,0.461212,0.043650,29930.785,0.260017,0.008132,2.314202,0.0260754,0.266209,0.002165,0.616062,0.168166,0.700000
GARTHE_STICHLMAIR,120->13.440,0.60,4.001747,0.461212,0.043650,34433.900,0.260017,0.008132,2.314202,0.0260754,0.262651,0.002136,0.607827,0.168104,0.600000
GARTHE_STICHLMAIR,180->19.175,1.00,4.314109,0.324147,0.147319,87815.513,0.346769,0.004560,0.912085,0.01288,0.248734,0.001134,0.226867,0.165169,1.000000
GARTHE_STICHLMAIR,180->17.710,0.80,4.860583,0.324147,0.147319,107127.264,0.346769,0.004560,0.912085,0.01288,0.245001,0.001117,0.223462,0.165142,0.800000
GARTHE_STICHLMAIR,180->16.889,0.70,5.218946,0.324147,0.147319,120612.070,0.346769,0.004560,0.912085,0.01288,0.242905,0.001108,0.221550,0.165127,0.700000
GARTHE_STICHLMAIR,180->15.992,0.60,5.664442,0.324147,0.147319,138255.147,0.346769,0.004560,0.912085,0.01288,0.240606,0.001097,0.219453,0.165110,0.600000
GARTHE_STICHLMAIR,240->21.705,1.00,5.515182,0.253884,0.349200,235087.748,0.426197,0.002972,0.465547,0.00790133,0.235737,0.000701,0.109746,0.164244,1.000000
GARTHE_STICHLMAIR,240->20.070,0.80,6.202658,0.253884,0.349200,285930.167,0.426197,0.002972,0.465547,0.00790133,0.232995,0.000692,0.108470,0.164234,0.800000
GARTHE_STICHLMAIR,240->19.154,0.70,6.653145,0.253884,0.349200,321372.345,0.426197,0.002972,0.465547,0.00790133,0.231454,0.000688,0.107753,0.164228,0.700000
GARTHE_STICHLMAIR,240->18.150,0.60,7.212839,0.253884,0.349200,367683.304,0.426197,0.002972,0.465547,0.00790133,0.229764,0.000683,0.106966,0.164222,0.600000
GARTHE_STICHLMAIR,300->23.878,1.00,6.679925,0.210688,0.682031,505517.500,0.500636,0.002103,0.273390,0.00544141,0.227969,0.000479,0.062325,0.163866,1.000000
GARTHE_STICHLMAIR,300->22.096,0.80,7.504124,0.210688,0.682031,613691.745,0.500636,0.002103,0.273390,0.00544141,0.225814,0.000475,0.061735,0.163862,0.800000
GARTHE_STICHLMAIR,300->21.096,0.70,8.043966,0.210688,0.682031,689023.378,0.500636,0.002103,0.273390,0.00544141,0.224602,0.000472,0.061404,0.163859,0.700000
GARTHE_STICHLMAIR,300->20.000,0.60,8.714453,0.210688,0.682031,787378.927,0.500636,0.002103,0.273390,0.00544141,0.223272,0.000470,0.061040,0.163856,0.600000
RICHARDSON_ZAKI,60->12.378,1.00,1.600887,0.864682,0.005456,1869.727,0.160309,0.020323,10.843379,0.0916523,0.356682,0.007249,3.867642,0.186390,1.000000
RICHARDSON_ZAKI,60->11.348,0.80,1.823556,0.864682,0.005456,2322.961,0.160309,0.020323,10.843379,0.0916523,0.344571,0.007003,3.736311,0.185928,0.800000
RICHARDSON_ZAKI,60->10.777,0.70,1.970573,0.864682,0.005456,2643.409,0.160309,0.020323,10.843379,0.0916523,0.337768,0.006864,3.662545,0.185662,0.700000
RICHARDSON_ZAKI,60->10.155,0.60,2.154296,0.864682,0.005456,3066.804,0.160309,0.020323,10.843379,0.0916523,0.330307,0.006713,3.581646,0.185365,0.600000
RICHARDSON_ZAKI,120->16.168,1.00,3.033018,0.461212,0.043650,21695.108,0.260017,0.008132,2.314202,0.0260754,0.275114,0.002237,0.636669,0.169997,1.000000
RICHARDSON_ZAKI,120->14.901,0.80,3.428032,0.461212,0.043650,26605.929,0.260017,0.008132,2.314202,0.0260754,0.269345,0.002190,0.623320,0.169917,0.800000
RICHARDSON_ZAKI,120->14.193,0.70,3.687487,0.461212,0.043650,30046.078,0.260017,0.008132,2.314202,0.0260754,0.266109,0.002164,0.615830,0.169871,0.700000
RICHARDSON_ZAKI,120->13.421,0.60,4.010421,0.461212,0.043650,34558.389,0.260017,0.008132,2.314202,0.0260754,0.262562,0.002135,0.607621,0.169820,0.600000
RICHARDSON_ZAKI,180->19.175,1.00,4.314261,0.324147,0.147319,87820.674,0.346769,0.004560,0.912085,0.01288,0.248733,0.001134,0.226866,0.166115,1.000000
RICHARDSON_ZAKI,180->17.708,0.80,4.861032,0.324147,0.147319,107143.772,0.346769,0.004560,0.912085,0.01288,0.244998,0.001117,0.223459,0.166059,0.800000
RICHARDSON_ZAKI,180->16.888,0.70,5.219602,0.324147,0.147319,120637.326,0.346769,0.004560,0.912085,0.01288,0.242901,0.001108,0.221546,0.166027,0.700000
RICHARDSON_ZAKI,180->15.990,0.60,5.665365,0.324147,0.147319,138292.688,0.346769,0.004560,0.912085,0.01288,0.240601,0.001097,0.219449,0.165991,0.600000
RICHARDSON_ZAKI,240->21.636,1.00,5.541631,0.253884,0.349200,236969.737,0.426197,0.002972,0.465547,0.00790133,0.235621,0.000700,0.109693,0.163368,1.000000
RICHARDSON_ZAKI,240->20.007,0.80,6.231965,0.253884,0.349200,288185.329,0.426197,0.002972,0.465547,0.00790133,0.232889,0.000692,0.108421,0.163368,0.800000
RICHARDSON_ZAKI,240->19.094,0.70,6.684315,0.253884,0.349200,323885.677,0.426197,0.002972,0.465547,0.00790133,0.231354,0.000688,0.107706,0.163368,0.700000
RICHARDSON_ZAKI,240->18.094,0.60,7.246317,0.253884,0.349200,370531.998,0.426197,0.002972,0.465547,0.00790133,0.229669,0.000683,0.106922,0.163368,0.600000
RICHARDSON_ZAKI,300->23.835,1.00,6.698055,0.210688,0.682031,507806.330,0.500636,0.002103,0.273390,0.00544141,0.227917,0.000479,0.062310,0.163368,1.000000
RICHARDSON_ZAKI,300->22.057,0.80,7.524244,0.210688,0.682031,616436.568,0.500636,0.002103,0.273390,0.00544141,0.225766,0.000475,0.061722,0.163368,0.800000
RICHARDSON_ZAKI,300->21.059,0.70,8.065384,0.210688,0.682031,692083.817,0.500636,0.002103,0.273390,0.00544141,0.224557,0.000472,0.061392,0.163368,0.700000
RICHARDSON_ZAKI,300->19.964,0.60,8.737479,0.210688,0.682031,790849.498,0.500636,0.002103,0.273390,0.00544141,0.223229,0.000469,0.061029,0.163368,0.600000
