segment,atom,element,atom_class,area_square_angstrom,native_xtb_charge_electron,native_xtb_raw_sigma,tm_nist_raw_sigma,nist_hsieh_averaged_sigma,pre_probability_partition,left_bin,right_bin,left_weight,right_weight
1,1,C,NHB,0.241185721000,0.000003447000,0.000014291890854,-0.000014291890854,-0.000873091982409,NHB,-0.001,0.000,0.873091982408822,0.126908017591178
2,1,C,NHB,0.241185721000,0.000186350000,0.000772641096775,-0.000772641096775,-0.000801420948142,NHB,-0.001,0.000,0.801420948141858,0.198579051858142
3,1,C,NHB,0.241185721000,0.000064940000,0.000269253087333,-0.000269253087333,-0.000362769935035,NHB,-0.001,0.000,0.362769935035073,0.637230064964927
4,1,C,NHB,0.241185721000,0.000090413000,0.000374868792502,-0.000374868792502,-0.000462446508500,NHB,-0.001,0.000,0.462446508500447,0.537553491499553
5,1,C,NHB,0.617017436000,0.000010744000,0.000017412798040,-0.000017412798040,-0.000120917918086,NHB,-0.001,0.000,0.120917918085818,0.879082081914182
6,1,C,NHB,0.617017436000,0.000419082000,0.000679206089729,-0.000679206089729,-0.000753656210479,NHB,-0.001,0.000,0.753656210479103,0.246343789520897
7,1,C,NHB,0.617017436000,0.000280535000,0.000454663002424,-0.000454663002424,-0.000658521651932,NHB,-0.001,0.000,0.658521651931579,0.341478348068421
8,1,C,NHB,0.617017436000,0.000077199000,0.000125116399466,-0.000125116399466,-0.000255107244397,NHB,-0.001,0.000,0.255107244397131,0.744892755602869
9,1,C,NHB,0.617017436000,0.000424463000,0.000687927075046,-0.000687927075046,-0.000668884440874,NHB,-0.001,0.000,0.668884440873612,0.331115559126388
10,1,C,NHB,0.617017436000,0.000203107000,0.000329175462717,-0.000329175462717,-0.000744486426033,NHB,-0.001,0.000,0.744486426032745,0.255513573967255
11,1,C,NHB,0.517349488000,0.000036869000,0.000071265171524,-0.000071265171524,-0.000076775540897,NHB,-0.001,0.000,0.076775540897171,0.923224459102829
12,1,C,NHB,0.517349488000,-0.000120234000,-0.000232403825245,0.000232403825245,0.000041100553991,NHB,0.000,0.001,0.958899446009467,0.041100553990533
13,1,C,NHB,0.517349488000,0.000157341000,0.000304129033950,-0.000304129033950,-0.000731407129314,NHB,-0.001,0.000,0.731407129314158,0.268592870685842
14,1,C,NHB,0.517349488000,-0.000059067000,-0.000114172336825,0.000114172336825,-0.000595317912568,NHB,-0.001,0.000,0.595317912567633,0.404682087432367
15,1,C,NHB,0.517349488000,0.000109035000,0.000210756949662,-0.000210756949662,-0.000168348505152,NHB,-0.001,0.000,0.168348505152011,0.831651494847989
