segment,atom,element,atom_class,area_square_angstrom,native_xtb_charge_electron,native_xtb_raw_sigma,tm_nist_raw_sigma,nist_hsieh_averaged_sigma,pre_probability_partition,left_bin,right_bin,left_weight,right_weight
1,1,C,NHB,0.241185721000,-0.000043513000,-0.000180412836297,0.000180412836297,0.000023189685853,NHB,0.000,0.001,0.976810314147073,0.023189685852927
2,1,C,NHB,0.241185721000,-0.000209975000,-0.000870594656804,0.000870594656804,-0.000399471657751,NHB,-0.001,0.000,0.399471657750797,0.600528342249203
3,1,C,NHB,0.241185721000,-0.000133448000,-0.000553299753595,0.000553299753595,0.000214746067705,NHB,0.000,0.001,0.785253932294514,0.214746067705486
4,1,C,NHB,0.241185721000,-0.000066474000,-0.000275613331189,0.000275613331189,-0.000163617962508,NHB,-0.001,0.000,0.163617962507544,0.836382037492456
5,1,C,NHB,0.241185721000,-0.000077507000,-0.000321358161995,0.000321358161995,0.000011859435845,NHB,0.000,0.001,0.988140564155064,0.011859435844936
6,1,C,NHB,0.617017436000,0.000025180000,0.000040809219531,-0.000040809219531,-0.000206821895419,NHB,-0.001,0.000,0.206821895418793,0.793178104581207
7,1,C,NHB,0.617017436000,-0.000198506000,-0.000321718623199,0.000321718623199,-0.000465120787889,NHB,-0.001,0.000,0.465120787888511,0.534879212111489
8,1,C,NHB,0.617017436000,0.000002560000,0.000004148991342,-0.000004148991342,-0.000070315066437,NHB,-0.001,0.000,0.070315066437174,0.929684933562826
9,1,C,NHB,0.617017436000,-0.000334219000,-0.000541668647432,0.000541668647432,-0.000452998861489,NHB,-0.001,0.000,0.452998861489206,0.547001138510794
10,1,C,NHB,0.517349488000,-0.000079704000,-0.000154062199439,0.000154062199439,-0.000092847137060,NHB,-0.001,0.000,0.092847137060491,0.907152862939508
11,1,C,NHB,0.517349488000,-0.000195529000,-0.000377943739262,0.000377943739262,-0.000034567406589,NHB,-0.001,0.000,0.034567406589051,0.965432593410949
12,1,C,NHB,0.517349488000,-0.000265703000,-0.000513585122172,0.000513585122172,-0.000395316207780,NHB,-0.001,0.000,0.395316207779949,0.604683792220051
13,1,C,NHB,0.517349488000,-0.000195437000,-0.000377765909763,0.000377765909763,-0.000230504840357,NHB,-0.001,0.000,0.230504840357234,0.769495159642766
14,1,C,NHB,0.517349488000,-0.000117994000,-0.000228074063543,0.000228074063543,-0.000039163934801,NHB,-0.001,0.000,0.039163934800582,0.960836065199418
15,1,C,NHB,0.517349488000,-0.000257052000,-0.000496863350525,0.000496863350525,0.000073242662033,NHB,0.000,0.001,0.926757337966901,0.073242662033099
16,1,C,NHB,0.517349488000,-0.000288146000,-0.000556965855159,0.000556965855159,-0.000202219866102,NHB,-0.001,0.000,0.202219866102419,0.797780133897581
17,1,C,NHB,0.517349488000,-0.000234356000,-0.000452993586417,0.000452993586417,0.000057351678057,NHB,0.000,0.001,0.942648321942589,0.057351678057411
18,1,C,NHB,0.517349488000,-0.000440266000,-0.000851003065069,0.000851003065069,-0.000549183382421,NHB,-0.001,0.000,0.549183382421217,0.450816617578783
19,1,C,NHB,0.517349488000,-0.000395530000,-0.000764531538495,0.000764531538495,-0.000281370231966,NHB,-0.001,0.000,0.281370231965775,0.718629768034225
20,1,C,NHB,0.517349488000,-0.000131103000,-0.000253412834150,0.000253412834150,0.000077116373049,NHB,0.000,0.001,0.922883626951149,0.077116373048851
21,1,C,NHB,0.517349488000,-0.000268796000,-0.000519563672594,0.000519563672594,0.000171322805170,NHB,0.000,0.001,0.828677194830310,0.171322805169690
22,1,C,NHB,0.517349488000,-0.000293698000,-0.000567697478808,0.000567697478808,-0.000417351368161,NHB,-0.001,0.000,0.417351368160734,0.582648631839266
23,1,C,NHB,0.517349488000,-0.000283895000,-0.000548748972571,0.000548748972571,-0.000113463044675,NHB,-0.001,0.000,0.113463044675310,0.886536955324690
24,1,C,NHB,0.517349488000,-0.000201160000,-0.000388828064328,0.000388828064328,0.000171104085245,NHB,0.000,0.001,0.828895914755454,0.171104085244546
25,1,C,NHB,0.517349488000,-0.000405727000,-0.000784241618888,0.000784241618888,0.000104452747137,NHB,0.000,0.001,0.895547252862734,0.104452747137266
26,1,C,NHB,0.517349488000,-0.000154824000,-0.000299263850823,0.000299263850823,0.000087065623525,NHB,0.000,0.001,0.912934376474889,0.087065623525111
27,1,C,NHB,0.517349488000,-0.000058166000,-0.000112430767497,0.000112430767497,0.000004947144194,NHB,0.000,0.001,0.995052855806194,0.004947144193806
28,1,C,NHB,0.517349488000,-0.000030917000,-0.000059760376142,0.000059760376142,-0.000045579329959,NHB,-0.001,0.000,0.045579329958906,0.954420670041094
29,1,C,NHB,0.517349488000,-0.000007868000,-0.000015208287980,0.000015208287980,-0.000166179348346,NHB,-0.001,0.000,0.166179348346345,0.833820651653655
30,1,C,NHB,0.626409493000,-0.000044287000,-0.000070699758696,0.000070699758696,-0.000319796841336,NHB,-0.001,0.000,0.319796841335863,0.680203158664137
31,1,C,NHB,0.626409493000,0.000021952000,0.000035044168783,-0.000035044168783,-0.000160712881046,NHB,-0.001,0.000,0.160712881046411,0.839287118953589
32,1,C,NHB,0.626409493000,0.000018029000,0.000028781492301,-0.000028781492301,-0.000231212282714,NHB,-0.001,0.000,0.231212282714065,0.768787717285935
33,1,C,NHB,0.626409493000,-0.000036477000,-0.000058231876125,0.000058231876125,-0.000195314428445,NHB,-0.001,0.000,0.195314428445224,0.804685571554776
34,1,C,NHB,0.626409493000,0.000043780000,0.000069890383989,-0.000069890383989,-0.000102823942327,NHB,-0.001,0.000,0.102823942326543,0.897176057673457
35,1,C,NHB,0.626409493000,-0.000066744000,-0.000106550109387,0.000106550109387,-0.000358589713959,NHB,-0.001,0.000,0.358589713958859,0.641410286041141
36,1,C,NHB,0.626409493000,-0.000085968000,-0.000137239299469,0.000137239299469,-0.000297116600118,NHB,-0.001,0.000,0.297116600118105,0.702883399881895
37,1,C,NHB,0.626409493000,-0.000430371000,-0.000687044185647,0.000687044185647,-0.000551691665591,NHB,-0.001,0.000,0.551691665590809,0.448308334409191
38,1,C,NHB,0.626409493000,-0.000110663000,-0.000176662392950,0.000176662392950,-0.000204092360830,NHB,-0.001,0.000,0.204092360829658,0.795907639170342
39,1,C,NHB,0.626409493000,-0.000189135000,-0.000301935079391,0.000301935079391,-0.000118890714008,NHB,-0.001,0.000,0.118890714008271,0.881109285991729
40,1,C,NHB,0.626409493000,-0.000488577000,-0.000779964233396,0.000779964233396,-0.000462855556902,NHB,-0.001,0.000,0.462855556901754,0.537144443098246
41,1,C,NHB,0.626409493000,-0.000410638000,-0.000655542428058,0.000655542428058,-0.000085453880296,NHB,-0.001,0.000,0.085453880296498,0.914546119703502
42,1,C,NHB,0.626409493000,-0.000152819000,-0.000243960223636,0.000243960223636,0.000095441899286,NHB,0.000,0.001,0.904558100714265,0.095441899285735
43,1,C,NHB,0.626409493000,-0.000381192000,-0.000608534839047,0.000608534839047,0.000170684646427,NHB,0.000,0.001,0.829315353573045,0.170684646426955
44,1,C,NHB,0.626409493000,-0.000247672000,-0.000395383535479,0.000395383535479,-0.000165642916034,NHB,-0.001,0.000,0.165642916034121,0.834357083965879
45,1,C,NHB,0.626409493000,-0.000231532000,-0.000369617642433,0.000369617642433,0.000058486005776,NHB,0.000,0.001,0.941513994223593,0.058486005776407
46,1,C,NHB,0.604526425000,0.000011826000,0.000019562420286,-0.000019562420286,-0.000073952320556,NHB,-0.001,0.000,0.073952320555750,0.926047679444250
47,1,C,NHB,0.604526425000,-0.000023500000,-0.000038873404087,0.000038873404087,-0.000055216889186,NHB,-0.001,0.000,0.055216889185866,0.944783110814134
48,1,C,NHB,0.604526425000,-0.000432447000,-0.000715348382000,0.000715348382000,-0.000563107374811,NHB,-0.001,0.000,0.563107374810616,0.436892625189384
49,1,C,NHB,0.604526425000,-0.000293052000,-0.000484762928271,0.000484762928271,-0.000210908195037,NHB,-0.001,0.000,0.210908195037139,0.789091804962861
50,1,C,NHB,0.604526425000,-0.000090902000,-0.000150368943756,0.000150368943756,-0.000049665865901,NHB,-0.001,0.000,0.049665865901339,0.950334134098661
51,1,C,NHB,0.604526425000,-0.000208153000,-0.000344324071524,0.000344324071524,-0.000036339667485,NHB,-0.001,0.000,0.036339667484740,0.963660332515260
52,1,C,NHB,0.604526425000,-0.000531060000,-0.000878472764859,0.000878472764859,-0.000440097617823,NHB,-0.001,0.000,0.440097617822854,0.559902382177146
53,1,C,NHB,0.604526425000,-0.000000031000,-0.000000051279810,0.000000051279810,0.000051614144588,NHB,0.000,0.001,0.948385855412451,0.051614144587549
54,1,C,NHB,0.604526425000,-0.000263655000,-0.000436134781040,0.000436134781040,-0.000485011165391,NHB,-0.001,0.000,0.485011165390701,0.514988834609299
55,1,C,NHB,0.604526425000,-0.000235834000,-0.000390113633163,0.000390113633163,-0.000270886075259,NHB,-0.001,0.000,0.270886075259007,0.729113924740993
56,1,C,NHB,0.604526425000,-0.000126516000,-0.000209281174103,0.000209281174103,-0.000269634031648,NHB,-0.001,0.000,0.269634031647604,0.730365968352396
57,1,C,NHB,0.604526425000,-0.000301906000,-0.000499409103581,0.000499409103581,0.000133723051739,NHB,0.000,0.001,0.866276948261272,0.133723051738728
58,1,C,NHB,0.604526425000,-0.000080790000,-0.000133641800687,0.000133641800687,-0.000234383827717,NHB,-0.001,0.000,0.234383827717035,0.765616172282965
59,1,C,NHB,0.604526425000,-0.000305591000,-0.000505504784179,0.000505504784179,0.000142930688939,NHB,0.000,0.001,0.857069311061038,0.142930688938962
60,1,C,NHB,0.604526425000,-0.000109187000,-0.000180615760510,0.000180615760510,-0.000105077401301,NHB,-0.001,0.000,0.105077401301315,0.894922598698685
61,1,C,NHB,0.604526425000,-0.000051431000,-0.000085076512578,0.000085076512578,-0.000033749166930,NHB,-0.001,0.000,0.033749166930310,0.966250833069690
62,1,C,NHB,0.604526425000,0.000015190000,0.000025127106727,-0.000025127106727,-0.000198418861396,NHB,-0.001,0.000,0.198418861396014,0.801581138603986
63,1,C,NHB,0.604526425000,0.000049855000,0.000082469513223,-0.000082469513223,-0.000113339753528,NHB,-0.001,0.000,0.113339753528286,0.886660246471714
64,1,C,NHB,0.604526425000,-0.000134214000,-0.000222015108769,0.000222015108769,-0.000403403088378,NHB,-0.001,0.000,0.403403088377979,0.596596911622021
65,1,C,NHB,0.610796623000,-0.000267774000,-0.000438401245057,0.000438401245057,-0.000506661676366,NHB,-0.001,0.000,0.506661676365659,0.493338323634341
66,1,C,NHB,0.610796623000,-0.000392746000,-0.000643006174577,0.000643006174577,-0.000036927350290,NHB,-0.001,0.000,0.036927350290123,0.963072649709877
67,1,C,NHB,0.610796623000,-0.000065931000,-0.000107942640017,0.000107942640017,0.000012561467078,NHB,0.000,0.001,0.987438532922358,0.012561467077642
