segment,atom,element,atom_class,area_square_angstrom,native_xtb_charge_electron,native_xtb_raw_sigma,tm_nist_raw_sigma,nist_hsieh_averaged_sigma,pre_probability_partition,left_bin,right_bin,left_weight,right_weight
1,1,C,NHB,0.241185721000,0.000408992000,0.001695755446484,-0.001695755446484,-0.001706130199656,NHB,-0.002,-0.001,0.706130199655871,0.293869800344129
2,1,C,NHB,0.241185721000,-0.000282816000,-0.001172606731557,0.001172606731557,0.000988855671982,NHB,0.000,0.001,0.011144328018402,0.988855671981598
3,1,C,NHB,0.241185721000,0.000062979000,0.000261122423578,-0.000261122423578,-0.001560123566211,NHB,-0.002,-0.001,0.560123566211231,0.439876433788769
4,1,C,NHB,0.241185721000,0.000298562000,0.001237892520180,-0.001237892520180,-0.001271521972243,NHB,-0.002,-0.001,0.271521972242776,0.728478027757224
5,1,C,NHB,0.241185721000,0.000351301000,0.001456558035623,-0.001456558035623,-0.000856291881810,NHB,-0.001,0.000,0.856291881810106,0.143708118189894
6,1,C,NHB,0.617017436000,0.001160620000,0.001881016535811,-0.001881016535811,-0.001627160920971,NHB,-0.002,-0.001,0.627160920971115,0.372839079028885
7,1,C,NHB,0.617017436000,-0.000087072000,-0.000141117568029,0.000141117568029,0.001719269143357,NHB,0.001,0.002,0.280730856642680,0.719269143357320
8,1,C,NHB,0.617017436000,0.000944051000,0.001530023213153,-0.001530023213153,-0.001942062900130,NHB,-0.002,-0.001,0.942062900129773,0.057937099870227
9,1,C,NHB,0.617017436000,0.001076903000,0.001745336415420,-0.001745336415420,-0.001543786832199,NHB,-0.002,-0.001,0.543786832198995,0.456213167801005
10,1,C,NHB,0.617017436000,0.000595573000,0.000965245008084,-0.000965245008084,-0.001976358456096,NHB,-0.002,-0.001,0.976358456096108,0.023641543903892
11,1,C,NHB,0.517349488000,0.000708393000,0.001369273607941,-0.001369273607941,-0.001554092268155,NHB,-0.002,-0.001,0.554092268154948,0.445907731845052
12,1,C,NHB,0.517349488000,0.000699051000,0.001351216182126,-0.001351216182126,-0.000633852294721,NHB,-0.001,0.000,0.633852294721177,0.366147705278823
13,1,C,NHB,0.517349488000,0.000376529000,0.000727803948266,-0.000727803948266,-0.001770585397531,NHB,-0.002,-0.001,0.770585397530608,0.229414602469392
14,1,C,NHB,0.517349488000,0.000667894000,0.001290991902944,-0.001290991902944,-0.000964286674474,NHB,-0.001,0.000,0.964286674473835,0.035713325526165
15,1,C,NHB,0.517349488000,0.000810793000,0.001567205571488,-0.001567205571488,-0.001120603772388,NHB,-0.002,-0.001,0.120603772387759,0.879396227612241
16,1,C,NHB,0.517349488000,0.000304534000,0.000588642701044,-0.000588642701044,0.000169671119312,NHB,0.000,0.001,0.830328880688304,0.169671119311696
17,1,C,NHB,0.517349488000,0.000582248000,0.001125444237417,-0.001125444237417,-0.001483526380697,NHB,-0.002,-0.001,0.483526380696568,0.516473619303432
18,1,C,NHB,0.517349488000,0.000808104000,0.001562007924515,-0.001562007924515,-0.000647651684632,NHB,-0.001,0.000,0.647651684632442,0.352348315367558
19,1,C,NHB,0.517349488000,0.000272661000,0.000527034444460,-0.000527034444460,-0.000623343475318,NHB,-0.001,0.000,0.623343475317681,0.376656524682319
20,1,C,NHB,0.517349488000,-0.001043941000,-0.002017864179272,0.002017864179272,0.002118737162336,NHB,0.002,0.003,0.881262837664465,0.118737162335535
21,1,C,NHB,0.517349488000,0.000723891000,0.001399230146720,-0.001399230146720,-0.001643940463998,NHB,-0.002,-0.001,0.643940463997954,0.356059536002046
22,1,C,NHB,0.517349488000,0.000023756000,0.000045918669199,-0.000045918669199,-0.000456106599096,NHB,-0.001,0.000,0.456106599095617,0.543893400904383
23,1,C,NHB,0.517349488000,-0.000918039000,-0.001774504510576,0.001774504510576,0.002819915774221,NHB,0.002,0.003,0.180084225778694,0.819915774221306
24,1,C,NHB,0.517349488000,0.000915384000,0.001769372583200,-0.001769372583200,-0.001520123050481,NHB,-0.002,-0.001,0.520123050481178,0.479876949518822
25,1,C,NHB,0.517349488000,0.000894129000,0.001728288170259,-0.001728288170259,-0.001672204193333,NHB,-0.002,-0.001,0.672204193332898,0.327795806667102
26,1,C,NHB,0.517349488000,0.001057888000,0.002044822744659,-0.002044822744659,-0.001778150226724,NHB,-0.002,-0.001,0.778150226724413,0.221849773275587
27,1,C,NHB,0.517349488000,0.000827468000,0.001599437168091,-0.001599437168091,-0.001672819473797,NHB,-0.002,-0.001,0.672819473797066,0.327180526202934
28,1,C,NHB,0.517349488000,0.000982185000,0.001898494195475,-0.001898494195475,-0.001734379651975,NHB,-0.002,-0.001,0.734379651975480,0.265620348024520
29,1,C,NHB,0.626409493000,0.001127739000,0.001800322333238,-0.001800322333238,-0.001593148751525,NHB,-0.002,-0.001,0.593148751525030,0.406851248474970
30,1,C,NHB,0.626409493000,0.001427880000,0.002279467370716,-0.002279467370716,-0.001827372412701,NHB,-0.002,-0.001,0.827372412700630,0.172627587299370
31,1,C,NHB,0.626409493000,0.001080974000,0.001725666695795,-0.001725666695795,-0.001574226609205,NHB,-0.002,-0.001,0.574226609205157,0.425773390794843
32,1,C,NHB,0.626409493000,0.001205990000,0.001925242215319,-0.001925242215319,-0.001790274180225,NHB,-0.002,-0.001,0.790274180224755,0.209725819775245
33,1,C,NHB,0.626409493000,0.001245759000,0.001988729439641,-0.001988729439641,-0.001859101662119,NHB,-0.002,-0.001,0.859101662118723,0.140898337881277
34,1,C,NHB,0.626409493000,0.000738326000,0.001178663491295,-0.001178663491295,-0.002073912996865,NHB,-0.003,-0.002,0.073912996864754,0.926087003135246
35,1,C,NHB,0.626409493000,0.001269381000,0.002026439596119,-0.002026439596119,-0.001735024059854,NHB,-0.002,-0.001,0.735024059854360,0.264975940145640
36,1,C,NHB,0.626409493000,0.000865774000,0.001382121455174,-0.001382121455174,-0.001954819813955,NHB,-0.002,-0.001,0.954819813954730,0.045180186045270
