segment,atom,element,atom_class,area_square_angstrom,native_xtb_charge_electron,native_xtb_raw_sigma,tm_nist_raw_sigma,nist_hsieh_averaged_sigma,pre_probability_partition,left_bin,right_bin,left_weight,right_weight
1,1,C,NHB,0.241185721000,0.000053717000,0.000222720481865,-0.000222720481865,-0.000638883519924,NHB,-0.001,0.000,0.638883519924312,0.361116480075688
2,1,C,NHB,0.241185721000,-0.000070180000,-0.000290979083293,0.000290979083293,0.000492250072698,NHB,0.000,0.001,0.507749927302203,0.492250072697797
3,1,C,NHB,0.241185721000,-0.000011331000,-0.000046980393172,0.000046980393172,-0.000101545741350,NHB,-0.001,0.000,0.101545741350179,0.898454258649821
4,1,C,NHB,0.241185721000,-0.000227793000,-0.000944471335432,0.000944471335432,-0.000399572999647,NHB,-0.001,0.000,0.399572999647269,0.600427000352731
5,1,C,NHB,0.617017436000,-0.000134128000,-0.000217381215140,0.000217381215140,-0.000591131627286,NHB,-0.001,0.000,0.591131627285704,0.408868372714296
6,1,C,NHB,0.617017436000,-0.000368209000,-0.000596756231699,0.000596756231699,-0.000469723244181,NHB,-0.001,0.000,0.469723244180571,0.530276755819429
7,1,C,NHB,0.617017436000,0.000158475000,0.000256840391784,-0.000256840391784,-0.000328694538863,NHB,-0.001,0.000,0.328694538862781,0.671305461137219
8,1,C,NHB,0.617017436000,0.000048423000,0.000078479143659,-0.000078479143659,-0.000062090140002,NHB,-0.001,0.000,0.062090140002042,0.937909859997958
9,1,C,NHB,0.517349488000,-0.000065376000,-0.000126367187977,0.000126367187977,-0.000075626104787,NHB,-0.001,0.000,0.075626104786899,0.924373895213101
10,1,C,NHB,0.517349488000,-0.000070932000,-0.000137106543343,0.000137106543343,-0.000261614402537,NHB,-0.001,0.000,0.261614402536657,0.738385597463343
11,1,C,NHB,0.517349488000,-0.000388248000,-0.000750455947102,0.000750455947102,-0.000201010167846,NHB,-0.001,0.000,0.201010167846339,0.798989832153661
12,1,C,NHB,0.517349488000,-0.000487380000,-0.000942071097594,0.000942071097594,-0.000169638532437,NHB,-0.001,0.000,0.169638532436715,0.830361467563285
13,1,C,NHB,0.517349488000,-0.000337438000,-0.000652243807768,0.000652243807768,-0.000550574184473,NHB,-0.001,0.000,0.550574184472528,0.449425815527472
14,1,C,NHB,0.517349488000,-0.000380727000,-0.000735918385600,0.000735918385600,-0.000438204721026,NHB,-0.001,0.000,0.438204721025511,0.561795278974489
15,1,C,NHB,0.517349488000,0.000096258000,0.000186059911593,-0.000186059911593,-0.000207562566124,NHB,-0.001,0.000,0.207562566123664,0.792437433876336
16,1,C,NHB,0.517349488000,0.000055117000,0.000106537265965,-0.000106537265965,-0.000253196358333,NHB,-0.001,0.000,0.253196358333023,0.746803641666977
17,1,C,NHB,0.517349488000,-0.000075673000,-0.000146270561304,0.000146270561304,-0.000062736456128,NHB,-0.001,0.000,0.062736456127924,0.937263543872076
