segment,atom,element,atom_class,area_square_angstrom,native_xtb_charge_electron,native_xtb_raw_sigma,tm_nist_raw_sigma,nist_hsieh_averaged_sigma,pre_probability_partition,left_bin,right_bin,left_weight,right_weight
1,1,C,NHB,0.241185721000,-0.000055504000,-0.000230129709876,0.000230129709876,-0.000719988072130,NHB,-0.001,0.000,0.719988072129761,0.280011927870239
2,1,C,NHB,0.241185721000,-0.000152067000,-0.000630497524354,0.000630497524354,0.000490041287771,NHB,0.000,0.001,0.509958712228792,0.490041287771208
3,1,C,NHB,0.241185721000,-0.000170956000,-0.000708814764370,0.000708814764370,0.000486925412352,NHB,0.000,0.001,0.513074587647623,0.486925412352377
4,1,C,NHB,0.617017436000,0.000027251000,0.000044165688699,-0.000044165688699,-0.000096118291870,NHB,-0.001,0.000,0.096118291870121,0.903881708129879
5,1,C,NHB,0.617017436000,0.000029654000,0.000048060230181,-0.000048060230181,-0.000081886026412,NHB,-0.001,0.000,0.081886026412367,0.918113973587633
6,1,C,NHB,0.617017436000,-0.000108154000,-0.000175285160013,0.000175285160013,0.000074633782661,NHB,0.000,0.001,0.925366217339012,0.074633782660988
7,1,C,NHB,0.617017436000,-0.000001236000,-0.000002003184882,0.000002003184882,-0.000051742544303,NHB,-0.001,0.000,0.051742544303242,0.948257455696758
8,1,C,NHB,0.517349488000,-0.000264760000,-0.000511762369812,0.000511762369812,0.000363131338824,NHB,0.000,0.001,0.636868661176090,0.363131338823910
9,1,C,NHB,0.517349488000,-0.000333789000,-0.000645190548637,0.000645190548637,0.000495429156584,NHB,0.000,0.001,0.504570843416356,0.495429156583644
10,1,C,NHB,0.517349488000,-0.000265912000,-0.000513989104402,0.000513989104402,0.000407767040229,NHB,0.000,0.001,0.592232959770749,0.407767040229251
11,1,C,NHB,0.517349488000,-0.000369289000,-0.000713809539906,0.000713809539906,0.000526740233364,NHB,0.000,0.001,0.473259766636188,0.526740233363812
12,1,C,NHB,0.517349488000,-0.000333838000,-0.000645285262175,0.000645285262175,0.000427878323238,NHB,0.000,0.001,0.572121676761842,0.427878323238158
13,1,C,NHB,0.517349488000,-0.000394454000,-0.000762451706534,0.000762451706534,0.000521255968505,NHB,0.000,0.001,0.478744031495191,0.521255968504809
14,1,C,NHB,0.517349488000,-0.000299360000,-0.000578641724683,0.000578641724683,0.000391239697653,NHB,0.000,0.001,0.608760302346523,0.391239697653477
15,1,C,NHB,0.517349488000,-0.000318075000,-0.000614816497122,0.000614816497122,0.000503340762105,NHB,0.000,0.001,0.496659237894511,0.503340762105489
16,1,C,NHB,0.517349488000,-0.000023839000,-0.000046079102334,0.000046079102334,-0.000600496758599,NHB,-0.001,0.000,0.600496758598537,0.399503241401463
17,1,C,NHB,0.517349488000,-0.000102053000,-0.000197261237069,0.000197261237069,-0.000708477886687,NHB,-0.001,0.000,0.708477886687271,0.291522113312729
18,1,C,NHB,0.517349488000,0.000035532000,0.000068680845007,-0.000068680845007,-0.000576812771602,NHB,-0.001,0.000,0.576812771601761,0.423187228398239
19,1,C,NHB,0.517349488000,-0.000029072000,-0.000056194121526,0.000056194121526,-0.000675731469878,NHB,-0.001,0.000,0.675731469878137,0.324268530121863
20,1,C,NHB,0.626409493000,0.000175468000,0.000280117083092,-0.000280117083092,-0.000289663225335,NHB,-0.001,0.000,0.289663225335091,0.710336774664909
21,1,C,NHB,0.626409493000,0.000169358000,0.000270363080210,-0.000270363080210,-0.000288390490464,NHB,-0.001,0.000,0.288390490464015,0.711609509535985
22,1,C,NHB,0.626409493000,0.000100056000,0.000159729380091,-0.000159729380091,-0.000190732461920,NHB,-0.001,0.000,0.190732461920341,0.809267538079659
23,1,C,NHB,0.626409493000,0.000180897000,0.000288783937698,-0.000288783937698,-0.000287638539601,NHB,-0.001,0.000,0.287638539600851,0.712361460399149
24,1,C,NHB,0.626409493000,0.000073795000,0.000117806324496,-0.000117806324496,-0.000129231067106,NHB,-0.001,0.000,0.129231067105974,0.870768932894026
25,1,C,NHB,0.626409493000,0.000152661000,0.000243707992465,-0.000243707992465,-0.000219303475658,NHB,-0.001,0.000,0.219303475657893,0.780696524342107
26,1,C,NHB,0.626409493000,-0.000008696000,-0.000013882292809,0.000013882292809,-0.000001981513857,NHB,-0.001,0.000,0.001981513857396,0.998018486142604
27,1,C,NHB,0.626409493000,0.000044332000,0.000070771596688,-0.000070771596688,-0.000064702411360,NHB,-0.001,0.000,0.064702411359500,0.935297588640500
28,1,C,NHB,0.626409493000,-0.000000070000,-0.000000111747987,0.000000111747987,0.000015124089098,NHB,0.000,0.001,0.984875910902468,0.015124089097532
29,1,C,NHB,0.626409493000,-0.000167005000,-0.000266606751440,0.000266606751440,0.000190544771014,NHB,0.000,0.001,0.809455228985917,0.190544771014083
30,1,C,NHB,0.626409493000,-0.000000026000,-0.000000041506395,0.000000041506395,0.000309171828798,NHB,0.000,0.001,0.690828171201568,0.309171828798432
31,1,C,NHB,0.626409493000,-0.000054395000,-0.000086836168046,0.000086836168046,0.000255011620258,NHB,0.000,0.001,0.744988379742063,0.255011620257937
32,1,C,NHB,0.626409493000,-0.000011148000,-0.000017796665160,0.000017796665160,0.000048324547151,NHB,0.000,0.001,0.951675452849475,0.048324547150525
33,1,C,NHB,0.604526425000,-0.000178391000,-0.000295092145889,0.000295092145889,0.000162838283312,NHB,0.000,0.001,0.837161716688326,0.162838283311674
34,1,C,NHB,0.604526425000,-0.000151830000,-0.000251155274147,0.000251155274147,0.000186171911870,NHB,0.000,0.001,0.813828088129627,0.186171911870373
35,1,C,NHB,0.604526425000,-0.000269080000,-0.000445108747728,0.000445108747728,0.000463960534605,NHB,0.000,0.001,0.536039465395100,0.463960534604900
36,1,C,NHB,0.604526425000,-0.000281522000,-0.000465690147457,0.000465690147457,0.000285991752137,NHB,0.000,0.001,0.714008247863336,0.285991752136664
37,1,C,NHB,0.604526425000,-0.000205486000,-0.000339912353707,0.000339912353707,0.000474253178105,NHB,0.000,0.001,0.525746821895334,0.474253178104666
38,1,C,NHB,0.604526425000,-0.000208149000,-0.000344317454775,0.000344317454775,0.000203020109337,NHB,0.000,0.001,0.796979890662817,0.203020109337183
39,1,C,NHB,0.604526425000,0.000008904000,0.000014728884680,-0.000014728884680,-0.000111262116545,NHB,-0.001,0.000,0.111262116544825,0.888737883455175
40,1,C,NHB,0.604526425000,-0.000000944000,-0.000001561552913,0.000001561552913,-0.000089613184616,NHB,-0.001,0.000,0.089613184616391,0.910386815383609
41,1,C,NHB,0.604526425000,0.000009012000,0.000014907536920,-0.000014907536920,-0.000227970087156,NHB,-0.001,0.000,0.227970087155875,0.772029912844125
42,1,C,NHB,0.604526425000,0.000146388000,0.000242153186273,-0.000242153186273,-0.000319341129448,NHB,-0.001,0.000,0.319341129448342,0.680658870551658
43,1,C,NHB,0.604526425000,0.000106012000,0.000175363715490,-0.000175363715490,-0.000465908889495,NHB,-0.001,0.000,0.465908889495490,0.534091110504510
44,1,C,NHB,0.604526425000,0.000112594000,0.000186251577009,-0.000186251577009,-0.000231093445231,NHB,-0.001,0.000,0.231093445230726,0.768906554769274
45,1,C,NHB,0.604526425000,0.000131245000,0.000217103826355,-0.000217103826355,-0.000387662786379,NHB,-0.001,0.000,0.387662786378631,0.612337213621369
46,1,C,NHB,0.610796623000,0.000096252000,0.000157584368308,-0.000157584368308,-0.000316506108077,NHB,-0.001,0.000,0.316506108076684,0.683493891923316
47,1,C,NHB,0.610796623000,0.000154563000,0.000253051497307,-0.000253051497307,-0.000367751938723,NHB,-0.001,0.000,0.367751938723090,0.632248061276910
48,1,C,NHB,0.610796623000,0.000041008000,0.000067138550633,-0.000067138550633,-0.000552928244024,NHB,-0.001,0.000,0.552928244024338,0.447071755975662
49,1,C,NHB,0.610796623000,-0.000115418000,-0.000188963061769,0.000188963061769,0.000138145154876,NHB,0.000,0.001,0.861854845124485,0.138145154875515
50,1,C,NHB,0.610796623000,-0.000540037000,-0.000884151908613,0.000884151908613,0.000506452333544,NHB,0.000,0.001,0.493547666455763,0.506452333544237
51,1,C,NHB,0.610796623000,-0.000234012000,-0.000383125890334,0.000383125890334,0.000244386494816,NHB,0.000,0.001,0.755613505183845,0.244386494816155
52,1,C,NHB,0.610796623000,-0.000409034000,-0.000669672988680,0.000669672988680,0.000493072175477,NHB,0.000,0.001,0.506927824522773,0.493072175477227
53,1,C,NHB,0.610796623000,0.000119904000,0.000196307568649,-0.000196307568649,-0.000516545595928,NHB,-0.001,0.000,0.516545595927845,0.483454404072155
54,1,C,NHB,0.610796623000,0.000184579000,0.000302193877716,-0.000302193877716,-0.000418487613846,NHB,-0.001,0.000,0.418487613846318,0.581512386153682
55,1,C,NHB,0.610796623000,-0.000051766000,-0.000084751614614,0.000084751614614,0.000319149071126,NHB,0.000,0.001,0.680850928874391,0.319149071125609
56,1,C,NHB,0.610796623000,-0.000287400000,-0.000470533053356,0.000470533053356,0.000410884681696,NHB,0.000,0.001,0.589115318304453,0.410884681695547
57,1,C,NHB,0.610796623000,-0.000313381000,-0.000513069306868,0.000513069306868,0.000465442971530,NHB,0.000,0.001,0.534557028469769,0.465442971530231
58,1,C,NHB,0.610796623000,-0.000050712000,-0.000083025999310,0.000083025999310,0.000330204923468,NHB,0.000,0.001,0.669795076532341,0.330204923467659
59,2,C,NHB,0.241185721000,0.000048940000,0.000202914168372,-0.000202914168372,-0.000601412599587,NHB,-0.001,0.000,0.601412599586725,0.398587400413275
60,2,C,NHB,0.241185721000,-0.000171970000,-0.000713018993359,0.000713018993359,0.000457763343049,NHB,0.000,0.001,0.542236656951181,0.457763343048819
61,2,C,NHB,0.241185721000,-0.000151128000,-0.000626604259047,0.000626604259047,0.000448369063363,NHB,0.000,0.001,0.551630936637133,0.448369063362867
62,2,C,NHB,0.617017436000,0.000094794000,0.000153632611445,-0.000153632611445,-0.000191110543685,NHB,-0.001,0.000,0.191110543685015,0.808889456314985
63,2,C,NHB,0.617017436000,0.000157654000,0.000255509797295,-0.000255509797295,-0.000329451330723,NHB,-0.001,0.000,0.329451330723229,0.670548669276771
64,2,C,NHB,0.517349488000,-0.000327326000,-0.000632698026368,0.000632698026368,0.000489620623018,NHB,0.000,0.001,0.510379376982171,0.489620623017829
65,2,C,NHB,0.517349488000,-0.000476924000,-0.000921860388504,0.000921860388504,0.000489113824199,NHB,0.000,0.001,0.510886175800906,0.489113824199094
66,2,C,NHB,0.517349488000,-0.000278571000,-0.000538458056810,0.000538458056810,0.000371018313508,NHB,0.000,0.001,0.628981686492326,0.371018313507674
67,2,C,NHB,0.517349488000,-0.000336343000,-0.000650127250150,0.000650127250150,0.000409365735225,NHB,0.000,0.001,0.590634264775142,0.409365735224858
68,2,C,NHB,0.517349488000,-0.000325020000,-0.000628240691329,0.000628240691329,0.000484388611451,NHB,0.000,0.001,0.515611388548813,0.484388611451187
69,2,C,NHB,0.517349488000,-0.000383188000,-0.000740675324685,0.000740675324685,0.000480958976636,NHB,0.000,0.001,0.519041023363663,0.480958976636337
70,2,C,NHB,0.517349488000,-0.000251691000,-0.000486500916379,0.000486500916379,0.000325795623454,NHB,0.000,0.001,0.674204376545579,0.325795623454421
71,2,C,NHB,0.517349488000,-0.000331979000,-0.000641691946547,0.000641691946547,0.000352529192663,NHB,0.000,0.001,0.647470807336720,0.352529192663280
72,2,C,NHB,0.517349488000,0.000038505000,0.000074427443910,-0.000074427443910,-0.000628937064749,NHB,-0.001,0.000,0.628937064749122,0.371062935250878
73,2,C,NHB,0.517349488000,0.000182160000,0.000352102407029,-0.000352102407029,-0.000430741148067,NHB,-0.001,0.000,0.430741148066979,0.569258851933021
74,2,C,NHB,0.517349488000,-0.000046595000,-0.000090064842202,0.000090064842202,-0.000692210734319,NHB,-0.001,0.000,0.692210734318559,0.307789265681441
75,2,C,NHB,0.517349488000,0.000175590000,0.000339403061321,-0.000339403061321,-0.000561985929851,NHB,-0.001,0.000,0.561985929850979,0.438014070149021
76,2,C,NHB,0.517349488000,0.000046819000,0.000090497818372,-0.000090497818372,-0.000289592944608,NHB,-0.001,0.000,0.289592944608425,0.710407055391575
77,2,C,NHB,0.517349488000,0.000060007000,0.000115989290396,-0.000115989290396,-0.000246632112922,NHB,-0.001,0.000,0.246632112921601,0.753367887078399
78,2,C,NHB,0.626409493000,0.000082350000,0.000131463524931,-0.000131463524931,-0.000535570035715,NHB,-0.001,0.000,0.535570035714628,0.464429964285372
79,2,C,NHB,0.626409493000,0.000017900000,0.000028575556725,-0.000028575556725,-0.000591740730201,NHB,-0.001,0.000,0.591740730201455,0.408259269798545
80,2,C,NHB,0.626409493000,-0.000130144000,-0.000207761857785,0.000207761857785,0.000082469609587,NHB,0.000,0.001,0.917530390413039,0.082469609586961
81,2,C,NHB,0.626409493000,-0.000092527000,-0.000147710085869,0.000147710085869,0.000230046273794,NHB,0.000,0.001,0.769953726205862,0.230046273794138
82,2,C,NHB,0.626409493000,-0.000104401000,-0.000166665737296,0.000166665737296,0.000057619014135,NHB,0.000,0.001,0.942380985865011,0.057619014134989
83,2,C,NHB,0.626409493000,0.000067338000,0.000107498370878,-0.000107498370878,-0.000099367212894,NHB,-0.001,0.000,0.099367212893878,0.900632787106122
84,2,C,NHB,0.626409493000,-0.000168878000,-0.000269596808297,0.000269596808297,0.000110817053045,NHB,0.000,0.001,0.889182946955126,0.110817053044874
85,2,C,NHB,0.626409493000,-0.000355513000,-0.000567540888146,0.000567540888146,0.000446461385031,NHB,0.000,0.001,0.553538614968759,0.446461385031241
86,2,C,NHB,0.626409493000,0.000176096000,0.000281119622177,-0.000281119622177,-0.000260802159913,NHB,-0.001,0.000,0.260802159912908,0.739197840087092
87,2,C,NHB,0.626409493000,-0.000037387000,-0.000059684599959,0.000059684599959,-0.000070079972205,NHB,-0.001,0.000,0.070079972204681,0.929920027795319
88,2,C,NHB,0.604526425000,-0.000547205000,-0.000905179620560,0.000905179620560,0.000465890959238,NHB,0.000,0.001,0.534109040762158,0.465890959237842
89,2,C,NHB,0.604526425000,-0.000164782000,-0.000272580309455,0.000272580309455,0.000177475475755,NHB,0.000,0.001,0.822524524245041,0.177475475754959
90,2,C,NHB,0.604526425000,-0.000364065000,-0.000602231738670,0.000602231738670,0.000345005829801,NHB,0.000,0.001,0.654994170198989,0.345005829801011
