segment,atom,element,atom_class,area_square_angstrom,native_xtb_charge_electron,native_xtb_raw_sigma,tm_nist_raw_sigma,nist_hsieh_averaged_sigma,pre_probability_partition,left_bin,right_bin,left_weight,right_weight
1,1,C,NHB,0.241185721000,-0.000054099000,-0.000224304323555,0.000224304323555,0.000120148874571,NHB,0.000,0.001,0.879851125428951,0.120148874571049
2,1,C,NHB,0.241185721000,-0.000086540000,-0.000358810627931,0.000358810627931,0.000219928804210,NHB,0.000,0.001,0.780071195790094,0.219928804209906
3,1,C,NHB,0.241185721000,-0.000212535000,-0.000881208883838,0.000881208883838,0.000177248271851,NHB,0.000,0.001,0.822751728148937,0.177248271851063
4,1,C,NHB,0.241185721000,-0.000116949000,-0.000484891889599,0.000484891889599,0.000087223959517,NHB,0.000,0.001,0.912776040482947,0.087223959517053
5,1,C,NHB,0.241185721000,-0.000125398000,-0.000519922984993,0.000519922984993,0.000137334672620,NHB,0.000,0.001,0.862665327379860,0.137334672620140
6,1,C,NHB,0.617017436000,-0.000120126000,-0.000194688177337,0.000194688177337,-0.000167121383690,NHB,-0.001,0.000,0.167121383690103,0.832878616309897
7,1,C,NHB,0.617017436000,-0.000495730000,-0.000803429483636,0.000803429483636,0.000224776842802,NHB,0.000,0.001,0.775223157198197,0.224776842801803
8,1,C,NHB,0.617017436000,-0.000268237000,-0.000434731636984,0.000434731636984,-0.000254022440114,NHB,-0.001,0.000,0.254022440113967,0.745977559886033
9,1,C,NHB,0.617017436000,-0.000425701000,-0.000689933501328,0.000689933501328,-0.000434629350211,NHB,-0.001,0.000,0.434629350211188,0.565370649788812
10,1,C,NHB,0.617017436000,-0.000025808000,-0.000041827018969,0.000041827018969,0.000042745580873,NHB,0.000,0.001,0.957254419127456,0.042745580872544
11,1,C,NHB,0.617017436000,-0.000198341000,-0.000321451207742,0.000321451207742,0.000153296142762,NHB,0.000,0.001,0.846703857238128,0.153296142761872
12,1,C,NHB,0.517349488000,-0.000248179000,-0.000479712468566,0.000479712468566,-0.000187503306118,NHB,-0.001,0.000,0.187503306117703,0.812496693882297
13,1,C,NHB,0.517349488000,-0.000330563000,-0.000638954918614,0.000638954918614,-0.000030765146252,NHB,-0.001,0.000,0.030765146252377,0.969234853747623
14,1,C,NHB,0.517349488000,-0.000193752000,-0.000374508923840,0.000374508923840,0.000208151476226,NHB,0.000,0.001,0.791848523773985,0.208151476226015
15,1,C,NHB,0.517349488000,-0.000348205000,-0.000673055657881,0.000673055657881,0.000271042117274,NHB,0.000,0.001,0.728957882725566,0.271042117274434
16,1,C,NHB,0.517349488000,-0.000358779000,-0.000693494452632,0.000693494452632,-0.000104072976125,NHB,-0.001,0.000,0.104072976125422,0.895927023874578
17,1,C,NHB,0.517349488000,-0.000318517000,-0.000615670851886,0.000615670851886,0.000172081377252,NHB,0.000,0.001,0.827918622748235,0.172081377251765
18,1,C,NHB,0.517349488000,-0.000233154000,-0.000450670205360,0.000450670205360,0.000158160886409,NHB,0.000,0.001,0.841839113591194,0.158160886408806
19,1,C,NHB,0.517349488000,-0.000225925000,-0.000436697059223,0.000436697059223,0.000154775136939,NHB,0.000,0.001,0.845224863060925,0.154775136939075
20,1,C,NHB,0.517349488000,-0.000111401000,-0.000215330260460,0.000215330260460,0.000009520517126,NHB,0.000,0.001,0.990479482874129,0.009520517125871
21,1,C,NHB,0.517349488000,-0.000221811000,-0.000428744987953,0.000428744987953,0.000187042014347,NHB,0.000,0.001,0.812957985652582,0.187042014347418
22,1,C,NHB,0.517349488000,-0.000535011000,-0.001034138454584,0.001034138454584,-0.000082455222271,NHB,-0.001,0.000,0.082455222271263,0.917544777728737
23,1,C,NHB,0.517349488000,-0.000363455000,-0.000702532830186,0.000702532830186,0.000142191669350,NHB,0.000,0.001,0.857808330649569,0.142191669350431
24,1,C,NHB,0.517349488000,-0.000128701000,-0.000248769937895,0.000248769937895,0.000092102574801,NHB,0.000,0.001,0.907897425198815,0.092102574801185
25,1,C,NHB,0.517349488000,-0.000302086000,-0.000583910890040,0.000583910890040,0.000344974418391,NHB,0.000,0.001,0.655025581608724,0.344974418391276
26,1,C,NHB,0.517349488000,-0.000361445000,-0.000698647642230,0.000698647642230,0.000093865961446,NHB,0.000,0.001,0.906134038553869,0.093865961446131
27,1,C,NHB,0.517349488000,-0.000345540000,-0.000667904401212,0.000667904401212,0.000349600365527,NHB,0.000,0.001,0.650399634473471,0.349600365526529
28,1,C,NHB,0.517349488000,-0.000198686000,-0.000384045997162,0.000384045997162,0.000204328629904,NHB,0.000,0.001,0.795671370096265,0.204328629903735
29,1,C,NHB,0.517349488000,-0.000108868000,-0.000210434150463,0.000210434150463,0.000022850881430,NHB,0.000,0.001,0.977149118569720,0.022850881430280
30,1,C,NHB,0.517349488000,-0.000084287000,-0.000162920814565,0.000162920814565,0.000022311183714,NHB,0.000,0.001,0.977688816286086,0.022311183713914
31,1,C,NHB,0.517349488000,-0.000041770000,-0.000080738458177,0.000080738458177,0.000024925286386,NHB,0.000,0.001,0.975074713614455,0.024925286385545
32,1,C,NHB,0.626409493000,-0.000070236000,-0.000112124737548,0.000112124737548,0.000040567693796,NHB,0.000,0.001,0.959432306203859,0.040567693796141
33,1,C,NHB,0.626409493000,-0.000363075000,-0.000579612863562,0.000579612863562,0.000310179360105,NHB,0.000,0.001,0.689820639894527,0.310179360105473
34,1,C,NHB,0.626409493000,-0.000452193000,-0.000721880822454,0.000721880822454,-0.000424463611587,NHB,-0.001,0.000,0.424463611587180,0.575536388412820
35,1,C,NHB,0.626409493000,-0.000097934000,-0.000156341819679,0.000156341819679,-0.000156598187307,NHB,-0.001,0.000,0.156598187307273,0.843401812692727
36,1,C,NHB,0.626409493000,-0.000242163000,-0.000386588968887,0.000386588968887,-0.000218258099490,NHB,-0.001,0.000,0.218258099490062,0.781741900509938
37,1,C,NHB,0.626409493000,-0.000095823000,-0.000152971819666,0.000152971819666,0.000002086600132,NHB,0.000,0.001,0.997913399868451,0.002086600131549
38,1,C,NHB,0.626409493000,-0.000056523000,-0.000090233306857,0.000090233306857,0.000001060565071,NHB,0.000,0.001,0.998939434929059,0.001060565070941
39,1,C,NHB,0.626409493000,-0.000338808000,-0.000540873029202,0.000540873029202,-0.000374500742811,NHB,-0.001,0.000,0.374500742810733,0.625499257189267
40,1,C,NHB,0.626409493000,-0.000131347000,-0.000209682326765,0.000209682326765,-0.000008039915696,NHB,-0.001,0.000,0.008039915696006,0.991960084303994
41,1,C,NHB,0.626409493000,-0.000442420000,-0.000706279207043,0.000706279207043,-0.000416082549413,NHB,-0.001,0.000,0.416082549412502,0.583917450587498
42,1,C,NHB,0.626409493000,-0.000620613000,-0.000990746479635,0.000990746479635,-0.000210450998012,NHB,-0.001,0.000,0.210450998012027,0.789549001987973
43,1,C,NHB,0.626409493000,-0.000350560000,-0.000559633919852,0.000559633919852,0.000031535445311,NHB,0.000,0.001,0.968464554689192,0.031535445310808
44,1,C,NHB,0.626409493000,-0.000076461000,-0.000122062326409,0.000122062326409,0.000135687935260,NHB,0.000,0.001,0.864312064740439,0.135687935259561
45,1,C,NHB,0.626409493000,-0.000449181000,-0.000717072466205,0.000717072466205,-0.000272269052681,NHB,-0.001,0.000,0.272269052680670,0.727730947319330
46,1,C,NHB,0.626409493000,-0.000313617000,-0.000500658121412,0.000500658121412,0.000134461470422,NHB,0.000,0.001,0.865538529578304,0.134461470421696
47,1,C,NHB,0.626409493000,-0.000429072000,-0.000684970462285,0.000684970462285,0.000315750215040,NHB,0.000,0.001,0.684249784959560,0.315750215040440
48,1,C,NHB,0.626409493000,-0.000035306000,-0.000056362491939,0.000056362491939,0.000084048452823,NHB,0.000,0.001,0.915951547176744,0.084048452823256
49,1,C,NHB,0.604526425000,-0.000245538000,-0.000406165867770,0.000406165867770,-0.000310558267162,NHB,-0.001,0.000,0.310558267161818,0.689441732838183
50,1,C,NHB,0.604526425000,-0.000514663000,-0.000851349053931,0.000851349053931,0.000003947479485,NHB,0.000,0.001,0.996052520514585,0.003947479485415
51,1,C,NHB,0.604526425000,-0.000153885000,-0.000254554629270,0.000254554629270,0.000087735768003,NHB,0.000,0.001,0.912264231997429,0.087735768002571
52,1,C,NHB,0.604526425000,-0.000574908000,-0.000951005574322,0.000951005574322,-0.000392832222938,NHB,-0.001,0.000,0.392832222937539,0.607167777062461
53,1,C,NHB,0.604526425000,-0.000169410000,-0.000280235888779,0.000280235888779,0.000179641732674,NHB,0.000,0.001,0.820358267326327,0.179641732673673
54,1,C,NHB,0.604526425000,-0.000275118000,-0.000455096731297,0.000455096731297,0.000235954655667,NHB,0.000,0.001,0.764045344332739,0.235954655667261
55,1,C,NHB,0.604526425000,-0.000115470000,-0.000191009019994,0.000191009019994,-0.000171349495338,NHB,-0.001,0.000,0.171349495337623,0.828650504662378
56,1,C,NHB,0.604526425000,-0.000344102000,-0.000569209195446,0.000569209195446,0.000151402693937,NHB,0.000,0.001,0.848597306063333,0.151402693936667
57,1,C,NHB,0.604526425000,-0.000583554000,-0.000965307678651,0.000965307678651,-0.000299270718432,NHB,-0.001,0.000,0.299270718431589,0.700729281568411
58,1,C,NHB,0.604526425000,-0.000198711000,-0.000328705234019,0.000328705234019,-0.000217940213000,NHB,-0.001,0.000,0.217940212999841,0.782059787000159
59,1,C,NHB,0.604526425000,-0.000453908000,-0.000750848897962,0.000750848897962,0.000246618359315,NHB,0.000,0.001,0.753381640685221,0.246618359314779
60,1,C,NHB,0.604526425000,-0.000263186000,-0.000435358967145,0.000435358967145,0.000066562381377,NHB,0.000,0.001,0.933437618622932,0.066562381377068
61,1,C,NHB,0.604526425000,-0.000183094000,-0.000302871789269,0.000302871789269,0.000136942126604,NHB,0.000,0.001,0.863057873396361,0.136942126603639
62,1,C,NHB,0.604526425000,-0.000141786000,-0.000234540615822,0.000234540615822,-0.000198232663916,NHB,-0.001,0.000,0.198232663915830,0.801767336084170
63,1,C,NHB,0.604526425000,-0.000156753000,-0.000259298838756,0.000259298838756,-0.000255039684393,NHB,-0.001,0.000,0.255039684392590,0.744960315607410
64,1,C,NHB,0.604526425000,-0.000070154000,-0.000116047863416,0.000116047863416,0.000006241122750,NHB,0.000,0.001,0.993758877250304,0.006241122749696
65,1,C,NHB,0.610796623000,-0.000054093000,-0.000088561393372,0.000088561393372,0.000007142783288,NHB,0.000,0.001,0.992857216711938,0.007142783288062
66,1,C,NHB,0.610796623000,-0.000468925000,-0.000767726903428,0.000767726903428,0.000326145953010,NHB,0.000,0.001,0.673854046990110,0.326145953009890
67,1,C,NHB,0.610796623000,-0.000559501000,-0.000916018489513,0.000916018489513,-0.000322362476054,NHB,-0.001,0.000,0.322362476054251,0.677637523945749
68,1,C,NHB,0.610796623000,-0.000126904000,-0.000207768011841,0.000207768011841,0.000070058602829,NHB,0.000,0.001,0.929941397170926,0.070058602829074
69,1,C,NHB,0.610796623000,-0.000138491000,-0.000226738319737,0.000226738319737,-0.000217580291903,NHB,-0.001,0.000,0.217580291902566,0.782419708097434
70,1,C,NHB,0.610796623000,-0.000078719000,-0.000128879232523,0.000128879232523,-0.000004908635016,NHB,-0.001,0.000,0.004908635015795,0.995091364984205
71,1,C,NHB,0.610796623000,-0.000085208000,-0.000139503063363,0.000139503063363,0.000044411615067,NHB,0.000,0.001,0.955588384933011,0.044411615066989
72,1,C,NHB,0.610796623000,-0.000269547000,-0.000441304011597,0.000441304011597,-0.000173436407060,NHB,-0.001,0.000,0.173436407059573,0.826563592940427
73,1,C,NHB,0.610796623000,-0.000161745000,-0.000264809912022,0.000264809912022,0.000130256941539,NHB,0.000,0.001,0.869743058461142,0.130256941538858
74,1,C,NHB,0.610796623000,-0.000078077000,-0.000127828146162,0.000127828146162,-0.000107595497981,NHB,-0.001,0.000,0.107595497981023,0.892404502018977
75,1,C,NHB,0.610796623000,-0.000593136000,-0.000971085919052,0.000971085919052,-0.000357370957190,NHB,-0.001,0.000,0.357370957189803,0.642629042810197
76,1,C,NHB,0.610796623000,-0.000423152000,-0.000692787065393,0.000692787065393,0.000330444179580,NHB,0.000,0.001,0.669555820420406,0.330444179579594
77,1,C,NHB,0.610796623000,-0.000465366000,-0.000761900086668,0.000761900086668,-0.000051507896856,NHB,-0.001,0.000,0.051507896855687,0.948492103144313
78,1,C,NHB,0.610796623000,-0.000508061000,-0.000831800604110,0.000831800604110,0.000221660555319,NHB,0.000,0.001,0.778339444680817,0.221660555319183
79,1,C,NHB,0.610796623000,-0.000329196000,-0.000538961722452,0.000538961722452,-0.000232329461048,NHB,-0.001,0.000,0.232329461048205,0.767670538951795
80,1,C,NHB,0.610796623000,-0.000451585000,-0.000739337748434,0.000739337748434,0.000029273682663,NHB,0.000,0.001,0.970726317337176,0.029273682662824
81,1,C,NHB,0.610796623000,-0.000234284000,-0.000383571210413,0.000383571210413,0.000074914752027,NHB,0.000,0.001,0.925085247972613,0.074914752027387
82,1,C,NHB,0.610796623000,-0.000417941000,-0.000684255584039,0.000684255584039,0.000309432158501,NHB,0.000,0.001,0.690567841499308,0.309432158500692
83,2,C,NHB,0.241185721000,-0.000113070000,-0.000468808847933,0.000468808847933,0.000152488091775,NHB,0.000,0.001,0.847511908224678,0.152488091775322
84,2,C,NHB,0.241185721000,-0.000079272000,-0.000328676173993,0.000328676173993,0.000333671947306,NHB,0.000,0.001,0.666328052693740,0.333671947306260
85,2,C,NHB,0.241185721000,-0.000043331000,-0.000179658231094,0.000179658231094,-0.000087925720789,NHB,-0.001,0.000,0.087925720788972,0.912074279211028
86,2,C,NHB,0.617017436000,-0.000274598000,-0.000445040908050,0.000445040908050,0.000334215497300,NHB,0.000,0.001,0.665784502699750,0.334215497300250
